Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
50-50,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мягкая мебель; Матрасы; Мебель для ванных комнат,"Сибирский тракт, 8н",9 бутик; 1 этаж,620100,Шарташский рынок м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-18:00,+05:00,4.4,7,83432070530,89022530530,,,,http://мебель50-50.рф,,,,,https://wa.me/79022530530,,,,,,,,,,56.823682,60.649812,https://2gis.com/firm/1267165676444316,branch
66мебель.ру,,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни,"Монтёрская улица, 3а",216 офис; 2 этаж,620085,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,2,89002110011,,,,,http://www.66mebel.ru,,,,https://vk.com/66mebel,https://wa.me/79002110011,,,,,,https://t.me/+79002110011,https://t.me/79002110011,,,56.782005,60.616939,https://2gis.com/firm/70000001065140312,branch
7 Trees,мебельная компания,Мебель на заказ; Корпусная мебель; Дизайн интерьеров,"Машинная улица, 4","1 этаж; по лестнице, крыльцо слева",620142,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи),+05:00,5.0,5,89644850951,,,,,http://7trees.ru,,,,https://vk.com/7trees,https://wa.me/79644850951,,,,,,https://t.me/+79644850951,,,,56.815202,60.62742,https://2gis.com/firm/70000001094809947,branch
96 Кухонь,,Мебель на заказ; Мебель для кухни,"улица Владимира Высоцкого, 50",2 зал; 2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-19:00,+05:00,4.4,20,89222265923,,,,,http://96kuhon.ru/,,,,https://vk.com/96kuhon,https://wa.me/79222265923,,,,,,,,,,56.842654,60.698579,https://2gis.com/firm/70000001050148750,branch
A & S,мастерская,Мебель на заказ; Багетные мастерские; Художественные мастерские; Декоративные отделочные материалы; Корпусная мебель,"Восстания, 32а",15 офис; 2 этаж,620135,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 19:00-22:00; Вт: 19:00-22:00; Ср: 19:00-22:00; Чт: 19:00-22:00; Пт: 19:00-22:00 (по предварительной записи),+05:00,5.0,4,89126024869,,,,,http://www.as-vipsuvenir.ru,,,,,https://wa.me/79126024869,,,,,,https://t.me/+79126024869,,,,56.901555,60.607626,https://2gis.com/firm/70000001020492122,branch
Aero,шоурум мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для общественного питания; Мебель из стекла; Мебель для салонов красоты,"Верх-Исетский бульвар, 13",А корпус; 0 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,13,83433646486 (доп.303),,,,,http://mebelaero.ru,,,,https://vk.com/aero_mebel72,,,,,,,,,,,56.838277,60.573905,https://2gis.com/firm/70000001040959345,branch
Aero,шоурум мебели,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для общественного питания; Мебель из стекла,"40-летия Комсомола, 38н",Б корпус; 1 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.0,20,83433646486 (доп.302),,,,,http://mebelaero.ru,,,,https://vk.com/aero_mebel72,,,,,,,,,,,56.824182,60.705189,https://2gis.com/firm/70000001028696559,branch
Afeteria,производственная компания,Мебель на заказ; Мягкая мебель; Матрасы; Мебель для общественного питания; Офисная мебель; Детская мебель; Стеновые панели,"переулок Автоматики, 3/3",15 офис; 2 этаж,620049,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 12:00-17:00; Вс: 12:00-17:00 (по предварительной записи),+05:00,5.0,34,83433618164,89221818164,,,,http://afeteria.ru,,,,https://vk.com/krovati_ekb,https://wa.me/79221818164,,,viber://chat/?number=79221818164,,,https://t.me/+79221818164,,,,56.849565,60.663444,https://2gis.com/firm/70000001027708011,branch
Alfamart24.ru,магазин дверей и мебели,Мебель на заказ; Мебельные магазины; Входные двери; Мягкая мебель; Межкомнатные двери; Корпусная мебель; Мебель для кухни; Перегородки; Детская мебель,"Первомайская улица, 11в",2 этаж,620000,Центр м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.5,410,83433517583 (единый номер),,,,,http://ekaterinburg.alfamart24.ru,http://jivo.chat/ff3okjWqpj,,,https://vk.com/alfamart24,,,,,,,https://t.me/+79222981784,,,,56.842459,60.613117,https://2gis.com/firm/70000001006705615,branch
Alkado,салон мебели,Мебель на заказ; Мягкая мебель,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,83432717027,89826947027,,,,http://alkado.ru,,,,,https://wa.me/79826947027,,,,,,,,,,,,https://2gis.com/firm/70000001024608262,branch
Allant,офис,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель,"Верх-Исетский бульвар, 13в",А корпус; 508 офис; 5 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00,+05:00,4.9,18,88007000692 (единая справочная: круглосуточно),,,,,http://allant.ru,,,,https://vk.com/public211182980,,,,,,,,,,,56.838239,60.574154,https://2gis.com/firm/70000001090543316,branch
Allant,салон мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель,"Цвиллинга, 1",4 этаж; галерея Б,620142,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,38,89122551811,,,,,http://allant.ru,,,,https://vk.com/public211182980,,,,,,,,,,,56.816733,60.625992,https://2gis.com/firm/70000001037343439,branch
Allant,салон мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель,"Верх-Исетский бульвар, 13",А корпус; 213 офис; 2 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.6,107,89122551988,,,,,http://allant.ru,,,,https://vk.com/club25324606,,,,,,,,,,,56.838295,60.573949,https://2gis.com/firm/1267165676572550,branch
Alliance_loft,,Мебель на заказ; Металлическая мебель,"Северный проезд, 5Б",,624071,,,Среднеуральск,Среднеуральск муниципальный округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,,,89122126001,,,,,http://pk-alliance.ru,,,,,,,,,,,,,,,57.013382,60.483691,https://2gis.com/firm/70000001109713249,branch
AllMax Распил,,Мебель на заказ; Распиловка древесины; Корпусная мебель; Детская мебель; Офисная мебель,"Дагестанская улица, 41 лит З",ворота №15,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.7,4,89122564552,,,,,http://raspil-rti.ru,,,,,https://wa.me/79122564552,,,,,,,,,,56.764658,60.727152,https://2gis.com/firm/70000001041426955,branch
Amexmebel,компания,Мебель на заказ; Мягкая мебель,"Окружная улица, 3/1",,620103,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи: пн-пт),+05:00,,,89617789423,,,,,http://amexmebel.ru,,,,,,,,,,,,,,,56.756489,60.592524,https://2gis.com/firm/70000001066088581,branch
Annki studio,компания по производству мягкой мебели,Мебель на заказ; Мягкая мебель; Мебельные фабрики,"улица 8 Марта, 203","1, 3 этаж",620085,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-16:00; Вт: 10:00-16:00; Ср: 10:00-16:00; Чт: 10:00-16:00; Пт: 10:00-16:00,+05:00,,,89030863773,,,,,http://annki.studio,,,,,https://wa.me/79030863773,,,,,,https://t.me/annkistudio,,,,56.790214,60.606078,https://2gis.com/firm/70000001098214447,branch
Aqadi,мебельная мастерская,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Ереванская улица, 2Б",,620141,Завокзальный м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+05:00,,,89221712345,,,,,,,,,https://vk.com/aqadi_mebel,https://wa.me/79221712345,,,,,,https://t.me/+79221712345,,,,56.861873,60.584227,https://2gis.com/firm/70000001082425080,branch
Architector мебели,,Мебель на заказ; Мебель для кухни; Корпусная мебель,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,3.0,2,89222943896,,,,,,,,,,https://wa.me/79222943896,,,,,,https://t.me/+79222943896,,,,,,https://2gis.com/firm/70000001063498815,branch
Ardoni,федеральный салон мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель,"40-летия Комсомола, 38н",Б корпус; 2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,51,89826408970,89920173535,,,,http://ardoni.ru,,,,https://vk.com/ardoni_gylliver,,,,,,,,,,,56.824245,60.704293,https://2gis.com/firm/70000001032384991,branch
Ardoni,федеральный салон мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель,"улица Металлургов, 84",1 этаж; правое крыло,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,53,89538237325,,,,,http://ardoni.ru,,,,,,,,,,,,,,,56.827741,60.509281,https://2gis.com/firm/70000001032384863,branch
Armos,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Матрасы; Детская мебель; Металлическая мебель; Домашний текстиль,"40-летия Комсомола, 38н",Б корпус; 1 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,64,88001008580,,,,,http://armos-market.ru,,,,https://vk.com/armos_official,,,,,,,https://t.me/armos_official,,,https://youtube.com/@ARMOS-MARKET,56.824432,60.703568,https://2gis.com/firm/70000001054523167,branch
Armos,салон мебели,Мебель на заказ; Мягкая мебель; Корпусная мебель; Матрасы; Детская мебель; Металлическая мебель; Домашний текстиль,"улица Металлургов, 84",2 этаж; левое крыло,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.6,63,88001008580,,,,,http://armos-market.ru,,,,https://vk.com/armos_official,,,,,,,https://t.me/armos_official,,,https://youtube.com/@ARMOS-MARKET,56.827916,60.507992,https://2gis.com/firm/70000001045848404,branch
ArtSofa,салон мягкой мебели,Мебель на заказ; Мягкая мебель,"Окружная улица, 3 лит Л",,620103,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,83432957245,,,,,http://ekb.divany-artsofa.ru,,,,https://vk.com/public176698755,https://wa.me/79827174400,,,viber://chat/?number=79827174400,,,https://t.me/artsofa,,,,56.755765,60.590763,https://2gis.com/firm/70000001062755533,branch
Ashwill,мебельная компания,Мебель на заказ; Мебельные фабрики,"Завокзальная улица, 5 ст5",,620141,Завокзальный м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,89955626768,,,,,http://ashwill.ru,,,,,https://wa.me/79955626768,,,,,,,,,,56.865034,60.583826,https://2gis.com/firm/70000001102893960,branch
Asmax,производственная компания корпусной мебели,Мебель на заказ; Корпусная мебель; Ремонт мебели; Офисная мебель; Мебельная фурнитура,"улица Чемпионов, 7в",,620103,,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,5,89920099913,89012109765,,,,,,,,,https://wa.me/79920099913,,,viber://chat/?number=79920099913,,,https://t.me/+79920099913,,,,56.751965,60.56793,https://2gis.com/firm/70000001063877132,branch
ATTA mebel,мебельный салон,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель,"Верх-Исетский бульвар, 13в",В корпус; 309 офис; 3 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,5.0,2,89222070570,,,,,http://atta.su,,,,,,,,,,,,,,,56.837737,60.573921,https://2gis.com/firm/1267165676602710,branch
ATTA mebel,офис,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для ванных комнат; Офисная мебель,"Верх-Исетский бульвар, 13в",В корпус; 101г офис; 1 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,,,83433804205 (единый номер - пн-вс 10:00-20:00),,,,,http://atta.su,,,,,,,,,,,,,,,56.837736,60.573831,https://2gis.com/firm/70000001111581040,branch
Aurora Home,салон столов и стульев,Мебель на заказ; Мебельные магазины; Мебель для кухни,"улица Металлургов, 84",3 этаж,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,3,89827273457,,,,,http://mebel-aurora.ru,,,,https://vk.com/aurorahome_ekb,https://wa.me/79827273457,,,,,,,,,,56.827699,60.509083,https://2gis.com/firm/70000001092857679,branch
Avenue Decor Home,магазин,Мебель на заказ; Напольные покрытия; Укладка напольных покрытий; Светотехника; Корпусная мебель; Мебель для ванных комнат,"улица Толмачёва, 22",3.22 офис; 3 этаж,620000,Центр м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00,+05:00,,,89193119696,,,,,,,,,,,,,,,,,,,,56.840583,60.609512,https://2gis.com/firm/70000001103404592,branch
Azarova home. Furniture atelier,,Мебель на заказ; Мягкая мебель; Мебель для кухни,"улица Радищева, 18",1 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,,,89022659785,,,,,http://azarovahome.com,,,,,https://wa.me/79022659785,,,,,,,,,,56.831113,60.59515,https://2gis.com/firm/70000001033514558,branch
Ballet,студия мебели,Мебель на заказ; Мебель для учебных учреждений; Корпусная мебель; Мебель для кухни; Детская мебель; Мягкая мебель,"проспект Ильича, 28в",4 этаж,623103,Корабельная роща м-н,,Первоуральск,Первоуральск муниципальный округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,94,89058050931,89022717766,89022777706,kuhni_ballet@mail.ru,,,,,,https://vk.com/kuhni_ballet,https://wa.me/79058050931,https://wa.me/79022777706,,viber://chat/?number=79058050931,,,https://t.me/katerina_kuhni_ballet,,,,56.903472,59.959299,https://2gis.com/firm/70000001007489253,branch
Bannikov,,"Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для учебных учреждений; Офисная мебель; Мебель для ванных комнат; Распиловка древесины; ЛДСП, ДВПО, МДФ; Мебельная фурнитура; Ремонт мебели; Мебельные фасады; ДСП, ДВП, фанера","улица Альпинистов, 77 лит Т",,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+05:00,4.0,7,89630505339,,,,,,,,,https://vk.com/bannikovmebel,https://wa.me/79630505339,,,,,,,,,https://youtube.com/channel/UCisV3VBn3XTPq8ud4gvI9-Q,56.758829,60.735498,https://2gis.com/firm/70000001045138102,branch
