Наименование,Город,Рубрики,Email,Мобильный,Телефон 1,Телефон 2,WhatsApp,Telegram,ВКонтакте,2GIS URL
Malitta Lite,Екатеринбург,Мебель на заказ; Мебельные магазины; Мягкая мебель; Бескаркасная мебель,,79235210300,89235210300,,https://wa.me/79235210300,https://t.me/malitta_mebel,https://vk.com/malitta_mebel,https://2gis.com/firm/70000001075782541
Manini Mobili,Екатеринбург,Мебель на заказ; Корпусная мебель,,79000343658,83432682266,89000343658,,,,https://2gis.com/firm/70000001113572623
Margarita,Ревда,Мебель на заказ; Мебельные магазины; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для кухни; Мебель для ванных комнат; Изделия из камня для помещений,,79826736345,89826736345,,https://wa.me/79826736345,,,https://2gis.com/firm/70000001020116357
Marina Lozina,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мягкая мебель; Детская мебель; Матрасы; Офисная мебель; Мебель для ванных комнат; Ремонт мебели,,79122390603,89122390603,,https://wa.me/79122390603,https://t.me/marinalozinamb,https://vk.com/marinalozina,https://2gis.com/firm/70000001060563316
Mebel Lux96,Екатеринбург,Мебель на заказ; Ремонт мебели; Мягкая мебель; Мебель для общественного питания,,79221886786,89221886786,83433286786,https://wa.me/79221886786,https://t.me/mebellux96,https://vk.com/peretyazhka_mebeli_ekaterinburga,https://2gis.com/firm/70000001019477136
MebelMan,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79222206061,89222206061,,,,https://vk.com/gridasovmebelman,https://2gis.com/firm/70000001114015550
Miassmobili интерьеры Италии,Екатеринбург,Мебель на заказ; Мебельные магазины; Корпусная мебель; Офисная мебель; Матрасы; Мягкая мебель; Мебель для кухни; Детская мебель,,79222366378,83433804246,89222366378,,https://t.me/miassmebel_ekb_rnd,https://vk.com/miassekb,https://2gis.com/firm/1267165676849751
Mio-Bambino,Екатеринбург,Мебель на заказ; Детская мебель; Детское игровое оборудование; Спортивное оборудование,,79221883878,89221883878,83433283878,https://wa.me/79221883878,,https://vk.com/miobambino24,https://2gis.com/firm/1267165676784313
Perfect Decor,Екатеринбург,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Светотехника; Стекло и зеркала; Мебель для кухни; Детская мебель; Матрасы,,79582248285,89582248285,,https://wa.me/79582248285,,https://vk.com/perfect_decor72,https://2gis.com/firm/70000001054341696
Pro мебель,Первоуральск,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Детская мебель,,79126639495,89126639495,,,,https://vk.com/id119595849,https://2gis.com/firm/70000001064543697
Pro мебель,Екатеринбург,Мебель на заказ; Корпусная мебель,,79676385561,89676385561,89126639495,,,https://vk.com/promebelpvu,https://2gis.com/firm/70000001110083299
Quadro,Екатеринбург,Мебель на заказ; Изготовление рекламных конструкций; Световая реклама; Размещение наружной рекламы; Корпусная мебель; Торгово-выставочное оборудование; Indoor-реклама; Дизайн рекламы; Широкоформатная печать; Реклама на транспорте; PR и связи с общественностью; Полиграфия; Стеллажи и витрины; Реклама в СМИ; Офсетная печать; Промоушн-акции; Оперативная полиграфия; Металлическая мебель; УФ-печать; Реклама в интернете; Плоттерная резка; Послепечатная обработка; Предпечатная подготовка; Прямая цифровая печать; Разработка и продвижение сайтов,,79221184188,89221184188,,https://wa.me/79221184188,,https://vk.com/quadroekb,https://2gis.com/firm/70000001069869046
Razdufff Мебель,Среднеуральск,Мебель на заказ; Корпусная мебель; Мягкая мебель; Ремонт мебели,,79226105566,89226105566,,https://wa.me/79226105566,,,https://2gis.com/firm/70000001060518402
RoomБа,Екатеринбург,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Дизайн интерьеров; Мебельные фасады,,79120419703,89120419703,89120419695,https://wa.me/79120419695,https://t.me/+79120419703,https://vk.com/kuuhninazakaz,https://2gis.com/firm/70000001067276960
Safe купе,Екатеринбург,Мебель на заказ; Мебельные магазины; Корпусная мебель; Офисная мебель; Мебельные фасады; Мебель для кухни; Детская мебель; Мебель для ванных комнат,,79022692714,83432680075,89022692714,https://wa.me/79022692714,https://t.me/+79022692714,,https://2gis.com/firm/70000001023260502
Selena,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79220370133,89220370133,,https://wa.me/79220370133,,https://vk.com/club227694676,https://2gis.com/firm/1267165676939812
Siesta gallery,Екатеринбург,Мебель на заказ; Мягкая мебель; Мебель для кухни; Бескаркасная мебель,,79292170999,89292170999 (единый номер),,https://wa.me/79292170999,,https://vk.com/siestagallery,https://2gis.com/firm/70000001040909252
Status,Екатеринбург,Мебель на заказ; Корпусная мебель; Дизайн интерьеров,,79001995230,89001995230,,,,,https://2gis.com/firm/70000001029082211
Stillnov,Екатеринбург,Мебель на заказ; Мягкая мебель; Мебель для кухни; Детская мебель; Ремонт мебели,,79018503044,89018503044,89221310238,,https://t.me/+79221310238,,https://2gis.com/firm/70000001074553017
Stolyar.Ek,,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Ремонт мебели; Мебель для ванных комнат; Офисная мебель,,79530588788,89530588788,,https://wa.me/79530588788,https://t.me/+79530588788,,https://2gis.com/firm/70000001081014386
Tri D,Екатеринбург,Мебель на заказ; Мебель для кухни,,79028704694,89028704694,,https://wa.me/79028704694,,,https://2gis.com/firm/1267165676840460
Umbrella,Березовский,Мебель на заказ; Мебель для кухни; Офисная мебель; Детская мебель; Корпусная мебель,,79222008000,89222008000,,https://wa.me/79222008000,,,https://2gis.com/firm/70000001006481691
UmLoft мебель,Екатеринбург,Мебель на заказ; Мебельные фабрики; Мягкая мебель,,79994975164,89994975164,,,,,https://2gis.com/firm/70000001090628427
Ural Wood,Екатеринбург,Мебель на заказ; Мебель для общественного питания; Интерьерные лестницы; Офисная мебель; Садово-парковая мебель; Мебель для кухни; Мебель для ванных комнат; Детская мебель; Корпусная мебель,,,,,https://wa.me/79028732898,https://t.me/+79028732898,,https://2gis.com/firm/70000001034417065
Verno,Екатеринбург,Мебель на заказ; Мебель для кухни; Дизайн интерьеров,,79227067673,83433802608,89227067673,,https://t.me/+79322394673,https://vk.com/verno_kuhni,https://2gis.com/firm/1267165676705633
Vilisov_interior,Екатеринбург,Мебель на заказ; Корпусная мебель,,79501979587,89501979587,89126354210,,,,https://2gis.com/firm/70000001110192899
Woodcowork,Екатеринбург,Мебель на заказ; Офисная мебель; Корпусная мебель; Деревообработка; Мебель для кухни,,79122239020,89122239020,,https://wa.me/79122239020,,https://vk.com/public167986486,https://2gis.com/firm/70000001051691131
WorldMetalL,Екатеринбург,Мебель на заказ; Металлоконструкции для строительства; Металлоизделия; Мягкая мебель; Садово-парковая мебель,,79935158880,89935158880,,https://wa.me/79935158880,,,https://2gis.com/firm/70000001096097782
Zanoza,Екатеринбург,Мебель на заказ; Товары для бань и саун; Пило- и лесоматериалы; Погонажные изделия; Садово-парковая мебель,,79089016909,89089016909,89043865998,https://wa.me/79043865998,,,https://2gis.com/firm/70000001020301883
Zart wood,Екатеринбург,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для общественного питания; Мебель для учебных учреждений; Мягкая мебель; Оборудование для лабораторий; Медицинская и лабораторная мебель,,,83432019020,,https://wa.me/79506412389,,https://vk.com/zartwood,https://2gis.com/firm/70000001043185089
zex_mebel,Екатеринбург,Мебель на заказ; Корпусная мебель; Мебель для кухни,,79086306620,89086306620,,https://wa.me/79086306620,,,https://2gis.com/firm/70000001044332438
Альвина,Екатеринбург,Мебель на заказ; Мебель для кухни; Детская мебель,,79002122626,89002122626,,https://wa.me/79002122626,,,https://2gis.com/firm/70000001048478270
Альпака,Екатеринбург,Мебель на заказ; Детская мебель; Мягкая мебель,,,,,https://wa.me/79122988877,,https://vk.com/alpaka_ekb,https://2gis.com/firm/70000001069509755
Армари,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79002043855,89002043855,89995663163,https://wa.me/79002043855,,https://vk.com/armarimebel,https://2gis.com/firm/70000001029313698
Арт-кам,Екатеринбург,Мебель на заказ; Торгово-выставочное оборудование; Стеллажи и витрины; Мебель для кухни; Корпусная мебель,,79634423979,89634423979,,https://wa.me/79634423979,,,https://2gis.com/firm/70000001064084920
Арта-Мебель,Екатеринбург,Мебель на заказ; Мягкая мебель; Офисная мебель; Мебель для общественного питания; Детская мебель,,79122485621,89122485621,83433566605,,,,https://2gis.com/firm/1267165676594431
Артлидер,Екатеринбург,Мебель на заказ; Ремонт мебели; Мягкая мебель,,79122715316,89122715316,,,,,https://2gis.com/firm/70000001041397470
Аснова-мебель,Заречный,Мебель на заказ; Мебель для кухни,,79126880802,89126880802,89588838600,https://wa.me/79126880802,,https://vk.com/club15826389,https://2gis.com/firm/70000001058930371
"Ателье мебели для кафе, ресторанов и баров",Екатеринбург,Мебель на заказ; Мебель для общественного питания; Ремонт мебели; Мягкая мебель; Офисная мебель,,79222076120,89222076120,,https://wa.me/79222076120,,,https://2gis.com/firm/70000001028064752
Атлас,Екатеринбург,Мебель на заказ; Корпусная мебель; Интерьерные лестницы; Межкомнатные двери; Мебель для кухни,,79022709680,89022709680,89028774759,https://wa.me/79028774759,,,https://2gis.com/firm/70000001034210622
Ваша кухня,Екатеринбург,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель,,79506578642,89506578642,,,https://t.me/+79506578642,,https://2gis.com/firm/1267165676549584
Венеция,Полевской,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат,,79533827750,83435054409,89533827750,,,https://vk.com/clubvenetsiya,https://2gis.com/firm/70000001061083646
Вердена,Екатеринбург,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Мебель для кухни; Офисная мебель,,79630526231,89630526231,89041797313,,https://t.me/+79630526231,https://vk.com/verdena1,https://2gis.com/firm/70000001043196893
Вкус жизни,Екатеринбург,Мебель на заказ; Корпусная мебель,,79617684604,89617684604,,https://wa.me/79617684604,https://t.me/mebels_ekb,https://vk.com/id402064307,https://2gis.com/firm/70000001100527178
Вмебели,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79678510240,89678510240,,https://wa.me/79678510240,https://t.me/vmebeliekb,https://vk.com/vmebeli_ekb,https://2gis.com/firm/70000001061938578
Все Кухни Тут,Верхняя Пышма,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель; Мебель для ванных комнат,,79379315602,89379315602,89379315603,,https://t.me/+79379315603,https://vk.com/vsekyxnityt,https://2gis.com/firm/70000001071761499
Вуд бразерс,Екатеринбург,Мебель на заказ; Деревообработка; Распиловка древесины,,79617645292,89617645292,,https://wa.me/79826316818,,,https://2gis.com/firm/70000001102609633
Гнездо Урала,Екатеринбург,Мебель на заказ; Корпусная мебель; Мебельные фабрики,,79827585502,89827585502,89089075842,,,https://vk.com/nestural,https://2gis.com/firm/70000001114128565
Гранд-диван,Верхняя Пышма,Мебель на заказ; Мягкая мебель; Ремонт мебели,,79089125718,89089125718,,https://wa.me/79089125718,https://t.me/granddivan,https://vk.com/granddivan,https://2gis.com/firm/70000001078808306
Гранд-Купе,Верхняя Пышма,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель; Мебель для ванных комнат,,79002062280,89002062280 (производственный отдел),,https://wa.me/79002062280,,https://vk.com/vp_kupe,https://2gis.com/firm/70000001019179202
Данко,Екатеринбург,Мебель на заказ; Офисная мебель; Мебель для кухни; Корпусная мебель; Фрезеровка неметаллов,,79527325224,83432015224,89527325224,https://wa.me/79527325224,,https://vk.com/club60547364,https://2gis.com/firm/1267165676751619
Дануби,Екатеринбург,Мебель на заказ; Офисная мебель; Корпусная мебель; Керамические изделия; Стекло и зеркала,,79002136509,89002136509,89935033131,,,,https://2gis.com/firm/70000001115116328
Добро мебель,Екатеринбург,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель,,79617721572,83433010380,89617721572,https://wa.me/79221429939,,,https://2gis.com/firm/70000001032215462
Добрый дом,Екатеринбург,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель,,79089261755,89089261755,,,,https://vk.com/ddomekb,https://2gis.com/firm/70000001082481904
Дом дверей & кухонь,Екатеринбург,Мебель на заказ; Межкомнатные двери; Входные двери; Корпусная мебель; Мебель для кухни,,79122973589,89122973589,,,,https://vk.com/domdvery06,https://2gis.com/firm/1267165676662577
Дом-студия,Екатеринбург,Мебель на заказ; Мебельные магазины; Мебель для кухни; Детская мебель,,79126500014,89126500014,89924281350,https://wa.me/79126500014,,,https://2gis.com/firm/1267165676549586
Дом кухни,Заречный,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель,,79222969404,89222969404,,https://wa.me/79222969404,,https://vk.com/ooo_dom_kuhni,https://2gis.com/firm/70000001059497041
Дом мебели,Полевской,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни,,79000363533,89000363533,,,,https://vk.com/id791899364,https://2gis.com/firm/70000001075433988
Ева,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель,,79068012244,89068012244,89655154219,https://wa.me/79068012244,,https://vk.com/id159460699,https://2gis.com/firm/70000001023749072
Европей,Екатеринбург,Мебель на заказ; Корпусная мебель,,79028780363,89028780363,,,,,https://2gis.com/firm/70000001043219787
Загородный стиль,,Мебель на заказ; Садово-парковая мебель; Товары для бань и саун; Корпусная мебель,,79045440855,89045440855,,,,,https://2gis.com/firm/70000001115018067
Замес,Березовский,Мебель на заказ; Мебельные фасады; Мебель для кухни; Мебель для ванных комнат,,79826035533,89826035533,89502002983,https://wa.me/79826035533,,,https://2gis.com/firm/70000001047885077
Золотая пчела,Березовский,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель,,79502072775,89502072775,89122588512,,,https://vk.com/golden_bee96,https://2gis.com/firm/70000001115022819
Золотая пчела,Березовский,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мягкая мебель; Офисная мебель,,79122588512,89122588512,89502072775,https://wa.me/79502072775,,https://vk.com/goldenbee_ekb,https://2gis.com/firm/1267165676720567
Золотая пчела,Екатеринбург,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Мебельная фурнитура,,79122588512,89122588512,89090025200,https://wa.me/79122588512,https://t.me/goldenbee96,https://vk.com/goldenbee_ekb,https://2gis.com/firm/70000001110257225
И4л,Екатеринбург,Мебель на заказ; Деревообработка; Фрезеровка неметаллов,,79237314447,89237314447,,https://wa.me/79237314447,,https://vk.com/i4lek,https://2gis.com/firm/70000001099134822
Игуана-мебель,Екатеринбург,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для общественного питания,,79033555234,89033555234,,,,,https://2gis.com/firm/70000001035583685
Кмк,Екатеринбург,Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,,79122327070,89122327070,,https://wa.me/79122267070,,https://vk.com/kmkgrup,https://2gis.com/firm/70000001072686931
Компания по изготовлению мебели,Екатеринбург,Мебель на заказ; Корпусная мебель,,79025032117,89025032117,,,,,https://2gis.com/firm/70000001113161628
Компания по изготовлению мебели,Арамиль,Мебель на заказ; Корпусная мебель; Офисная мебель,,79827498519,89827498519,,https://wa.me/79827498519,,,https://2gis.com/firm/70000001088774007
Компания по продаже мебели,Сысерть,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни; Матрасы,,79126210623,89126210623,,https://wa.me/79126210623,,,https://2gis.com/firm/70000001062034762
Компания по производству кроватей и матрасов,Екатеринбург,Мебель на заказ; Матрасы; Корпусная мебель,,79000382924,89000382924,89920263631,,,,https://2gis.com/firm/70000001115336219
Компания по производству мягкой мебели для офисов и кафе,Екатеринбург,Мебель на заказ; Мягкая мебель,,,,,https://wa.me/79827519435,,,https://2gis.com/firm/70000001043454481
Компания по сборке мебели,Екатеринбург,Мебель на заказ; Сборка мебели; Ремонт мебели,,79024424301,89024424301,,,https://t.me/Plotnikov_Pavel7,,https://2gis.com/firm/70000001112713042
Компания по изготовлению корпусной мебели,,Мебель на заказ; Корпусная мебель,,,89221213991 (единая справочная: пн-вс 9:00-21:00),89028742105 (единая справочная - пн-вс 9:00-21:00),https://wa.me/79221213991,https://t.me/cherkasova86,,https://2gis.com/firm/70000001099128934
Компания по изготовлению корпусной мебели,Екатеринбург,Мебель на заказ; Корпусная мебель,,,89221213991 (единая справочная: пн-вс 9:00-21:00),89028742105 (единая справочная - пн-вс 9:00-21:00),https://wa.me/79221213991,https://t.me/cherkasova86,,https://2gis.com/firm/70000001022036842
Компания по производству мебели на заказ,Асбест,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79221584622,89221584622,,,,,https://2gis.com/firm/70000001051647690
Купе Урал,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель,,79193676150,89193676150,,https://wa.me/79193676150,,https://vk.com/club117041247,https://2gis.com/firm/70000001019546031
КухМаркет,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79045468628,89045468628,,https://wa.me/79045468628,,,https://2gis.com/firm/70000001065291969
Кухни 2.0,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель,,79226107020,89226107020,,https://wa.me/79226107020,,,https://2gis.com/firm/70000001066422703
КрыльцOff,Березовский,Мебель на заказ; Товары для бань и саун; Строительство бань и саун; Корпусная мебель,,79292138001,89292138001,,https://wa.me/79292138001,,,https://2gis.com/firm/70000001078309831
Лига цвета,Екатеринбург,Мебель на заказ; Офисная мебель; Мебель для кухни; Мебельные фасады; Торгово-выставочное оборудование,,79122087406,89122087406,,https://wa.me/79122087406,,,https://2gis.com/firm/1267165676309578
Лазурит-купе,Березовский,Мебель на заказ; Корпусная мебель; Мебель для кухни,,79045438087,83432682617,89045438087,https://wa.me/79045438087,,,https://2gis.com/firm/1267165677111719
Ламель,Екатеринбург,Мебель на заказ; Корпусная мебель,,79090171982,89090171982,,https://wa.me/79090171982,https://t.me/+79090171982,,https://2gis.com/firm/70000001114285879
Лауд Лаб,,Мебель на заказ; Изготовление рекламных конструкций; Световая реклама; Быстровозводимые здания,,79222080827,89222080827,,,,https://vk.com/vyveskiurala_ru,https://2gis.com/firm/70000001105261644
Леди Стол,Екатеринбург,Мебель на заказ; Мебель для кухни; Офисная мебель,,79221071709,89221071709,,https://wa.me/79827524311,https://t.me/+79827524311,,https://2gis.com/firm/70000001093464459
Мастерская корпусной мебели,Екатеринбург,Мебель на заказ; Корпусная мебель,,79122804320,89122804320,,https://wa.me/79122804320,,,https://2gis.com/firm/70000001023930586
Мастерская мебели,Березовский,Мебель на заказ; Корпусная мебель; Мебель для кухни,,79527298378,89527298378,,,,https://vk.com/mebel_m_i,https://2gis.com/firm/70000001113530887
Мастерская по изготовлению и перетяжке мебели,Екатеринбург,Мебель на заказ; Мягкая мебель; Ремонт мебели,,79678540560,89678540560,,https://wa.me/79678540560,https://t.me/+79678540560,https://vk.com/workshopmebelekb,https://2gis.com/firm/70000001069295397
МебелеС,Березовский,Мебель на заказ; Корпусная мебель,,79018504855,89018504855,,,,https://vk.com/mebeles_salon,https://2gis.com/firm/70000001100304165
Мебель-Маркет,Ревда,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни; Офисная мебель; Детская мебель; Домашний текстиль,,79221000091,89221000091,,,https://t.me/+79221000091,https://vk.com/mebelmarket.revda,https://2gis.com/firm/70000001007543211
Мебелье,Екатеринбург,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,,79001971374,89001971374,,https://wa.me/79001971374,,https://vk.com/mebele66,https://2gis.com/firm/70000001069935001
Мебельная компания,Березовский,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель; Мебель для учебных учреждений,,79058067977,89058067977,,https://wa.me/79058067977,,,https://2gis.com/firm/70000001089547337
Мебельная лавка,Екатеринбург,Мебель на заказ; Офисная мебель; Детская мебель; Корпусная мебель; Мебель для кухни,,79221089071,89221089071,,https://wa.me/79221089071,,,https://2gis.com/firm/1267165677118980
Мебельная фабрика,Екатеринбург,Мебель на заказ; Корпусная мебель,,79826269318,89826269318,,,,,https://2gis.com/firm/70000001113402142
Мебельное решение для бизнеса,Екатеринбург,"Мебель на заказ; Распиловка древесины; Офисная мебель; Стеллажи и витрины; ЛДСП, ДВПО, МДФ; Торгово-выставочное оборудование",,79623133363,89623133363,,https://wa.me/79623133363,,https://vk.com/mrb_ekb,https://2gis.com/firm/70000001065276532
Мебельный рай,Березовский,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Матрасы,,79126663637,89126663637,,,,,https://2gis.com/firm/70000001028429040
