Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Верстакофф,компания по производству и продаже металлической мебели и стеллажей,Мебель на заказ; Мебельные фабрики; Металлическая мебель; Стеллажи и витрины; Слесарно-монтажный инструмент; Оборудование для автосервиса; Торгово-выставочное оборудование; Металлообрабатывающее оборудование; Сварочное оборудование; Садово-парковая мебель; Металлоконструкции для строительства; Деревообрабатывающий инструмент; Оборудование для автоматизации промышленности; Оборудование для общепита; Оборудование для производства мебели; Строительное оборудование; Фасадные материалы и конструкции; Изготовление рекламных конструкций; Мебель для учебных учреждений,"Селькоровская улица, 86а",1 этаж,620103,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,1.0,1,83433430092,,,,,http://ekb.werstakoff.ru,,,,https://vk.com/werstakoff_official,,,,,,,,,,,56.751481,60.605334,https://2gis.com/firm/70000001043198344,branch
Глянец,студия кухни,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебельные фасады; Мебельная фурнитура; Изделия из камня для помещений,"проспект Космонавтов, 54",3 этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-19:00,+05:00,3.5,6,89221828509,,,,,http://kuhnya-ekb.ru,,,,https://vk.com/kuhni_glanec,https://wa.me/79221819860,,,,,,https://t.me/+79221819860,,,,56.891979,60.614562,https://2gis.com/firm/70000001030469171,branch
Глянец,студия кухни,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебельные фасады; Изделия из камня для помещений; Мебельная фурнитура,"улица Бабушкина, 45",цокольный этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.2,60,89221510185,,,,,http://kuhnya-ekb.ru,,,,https://vk.com/kuhni_glanec,https://wa.me/79221819860,,,,,,https://t.me/+79221819860,,,,56.893034,60.616572,https://2gis.com/firm/1267165676726488,branch
Грув,мебельная студия,Мебель на заказ; Мебельные магазины; Мебель для кухни; Детская мебель; Корпусная мебель; Торгово-выставочное оборудование; Мебельные фасады; Бытовая техника; Мебель для общественного питания,"улица Академика Вонсовского, 1а",цокольный этаж,620016,УНЦ м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+05:00,5.0,30,83432267867,,,,,http://groove-studio.ru,http://jivo.chat/FBMkxgqEJ1,,,https://vk.com/groove_studio_mebel,,,,,,,https://t.me/groove_studio_mebel,,,https://youtube.com/rutube.ru/groovestudioekb,56.776459,60.565659,https://2gis.com/firm/70000001047807767,branch
ДаКухни,,Мебель на заказ; Мебель для кухни; Мебельная фурнитура; Мебельные фасады; Корпусная мебель,"Базовый переулок, 39а",432 офис; 4 этаж,620089,Автовокзал м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 10:30-15:00 (по предварительной записи),+05:00,5.0,2,89530085338,,,,,http://дакухни.рф,http://t.me/dakyhni,http://max.ru/id662332123678_biz,,https://vk.com/dakyhni,,,,,,,https://t.me/+79530085338,,,,56.805439,60.652961,https://2gis.com/firm/70000001101487010,branch
Добродел,мебельная производственная компания,"Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Мебель для учебных учреждений; Мебель для общественного питания; Офисная мебель; Торгово-выставочное оборудование; Мебель для культурно-досуговых учреждений; Погонажные изделия; Стеллажи и витрины; Багетные мастерские; Декоративные отделочные материалы; ЛДСП, ДВПО, МДФ; Мебельные фасады; Перегородки; Распиловка древесины","Монтёрская улица, 3г",2 этаж,620085,Вторчермет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,5.0,4,89089148268,83433835412,89222282950,vash_dobrodel@mail.ru,,http://dobrodel-mebel.ru,,,,https://vk.com/vash_dobrodel,https://wa.me/79222282950,,,,,,,,,,56.782924,60.613663,https://2gis.com/firm/70000001021591155,branch
Докер,"торговый комплекс товаров для дома, строительства и ремонта","Мебель на заказ; Стройматериалы; Напольные покрытия; Обои; Мягкая мебель; Пило- и лесоматериалы; Кровельные материалы; Межкомнатные двери; Сантехника; Керамическая плитка; ДСП, ДВП, фанера; Аксессуары для ванных комнат; Бетон и раствор; Входные двери; Гидроизоляционные материалы; Детская мебель; Железобетонные изделия; Заборы и ограждения; Звукоизоляционные материалы; Керамогранит; Комплектующие для дверей; Кирпич; Корпусная мебель; Мебель для ванных комнат; Мебель для кухни; Внутренние системы отопления, водоснабжения, канализации; Огнеупорные материалы; Офисная мебель; Резиновые покрытия; Песок и щебень; Системы водоотведения; Строительные блоки; Сэндвич-панели; Сухие строительные смеси; Теплоизоляционные материалы; Тротуарная плитка; Цемент; Фасадные материалы и конструкции; Герметики и клеи; Замки и скобяные изделия; Котельное оборудование; Крепёж; Лаки и краски; Матрасы; Оборудование для энергосбережения; Проектирование инженерных систем; Товары для отопления, водоснабжения, канализации; Строительство бань и саун; Малярный инструмент; Насосное оборудование; Электротехника; Слесарно-монтажный инструмент; Светотехника; Газовое оборудование; Кабель и провод; Отделочные материалы; Прокат оборудования и инструментов; Электроустановочная продукция; Декоративные отделочные материалы; Комплектующие для окон; Облицовочный камень; Окна; Оргстекло и поликарбонат; Погонажные изделия; Стекло и зеркала; Светопрозрачные конструкции; Стеновые панели; Гипсокартон; Порошковые краски; Мебельные фасады; Садовый инвентарь; Семена и посадочный материал; Товары для бань и саун; Теплицы; Средства защиты растений и удобрения; Укрывной материал; Садово-парковая мебель; Строительные гипермаркеты; Печи и камины для помещений; Абразивный инструмент; Электроинструмент; Рынки","улица Бахчиванджи, 2 лит А9",,620025,Кольцово м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.7,74,83432161161 (единая справочная),,,,,http://t.me/tk_doker,http://max.ru/id6662129430_biz,,,https://vk.com/tkdoker,,,,,,,,,,,56.761123,60.803361,https://2gis.com/firm/1267165676188939,branch
Кухни Ника,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Мебельные фасады; Мебель для ванных комнат; Офисная мебель,"проспект Академика Сахарова, 39",1 этаж,620105,,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,198,83432000123,89002115090,,nika-ekb96@mail.ru,,http://кухни-ника96.рф,,,,https://vk.com/kuchni_nika,https://wa.me/79002115090,,,viber://chat/?number=79002115090,,,https://t.me/+79002115090,,,,56.77929,60.525772,https://2gis.com/firm/70000001089429618,branch
КухниМАРК,мебельный салон,Мебель на заказ; Мебель для кухни; Мебельные фасады; Корпусная мебель; Мебель для ванных комнат; Мебельные фабрики,"улица Щорса, 96",2 зал; 1 этаж,620144,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.5,45,83432222090 (единый номер: пн-вс 10:00-20:00),89655456842 (единый номер: пн-вс 10:00-20:00),,,,http://kuhnimark.ru,,,,https://vk.com/kuhnimark,https://wa.me/79655456842,,,viber://chat/?number=79655456842,,,https://t.me/+79655456842,,,,56.808402,60.606245,https://2gis.com/firm/1267165677028829,branch
Лесплит,торгово-производственная компания,"Мебель на заказ; ЛДСП, ДВПО, МДФ; Пило- и лесоматериалы; Мебельная фурнитура; Мебельные фасады","улица Фронтовых Бригад, 14Б/2",,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,4.3,15,89617773713,83432163713,83432163714,,,http://lesplit.ru,,,,,https://wa.me/79617773713,,,,,,,,,,56.877612,60.622188,https://2gis.com/firm/1267165677063119,branch
М.Арт,,Мебель на заказ; Офисная мебель; Мебель для кухни; Мебельные фасады; Мебель для ванных комнат; Фрезеровка неметаллов; Мебель для салонов красоты; Мебель для учебных учреждений; Мебель для общественного питания; Садово-парковая мебель; Детская мебель; Ремонт мебели,"улица Луначарского, 16",2 этаж; въезд №1,624006,,,,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00,+05:00,5.0,3,83432069559,,,,,http://mart96.ru,http://jivo.chat/SkOvs4wCc4,,,https://vk.com/wood.mart,https://wa.me/79502029598,,,,,,,,,,56.727066,60.749672,https://2gis.com/firm/70000001060553168,branch
Мебеласка,интернет-магазин,Мебель на заказ; Мебель для кухни; Мебель для ванных комнат; Мебель для учебных учреждений; Мебельные фасады; Мебель для общественного питания; Металлическая мебель; Матрасы; Мебель для культурно-досуговых учреждений; Бескаркасная мебель; Пластиковая мебель; Мебельные магазины; Мебель для салонов красоты; Корпусная мебель; Мягкая мебель; Детская мебель; Офисная мебель,"улица Кирова, 28",202А офис; 2 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-16:00; Вс: 10:00-16:00,+05:00,4.7,60,83433638710,83433648710,88005001505,,,http://mebelaska.com,,,,https://vk.com/mebelaska,,,,,,,,,,,56.839757,60.554337,https://2gis.com/firm/70000001035455367,branch
Наш дом,сервис по поиску мастеров,"Мебель на заказ; Дизайн интерьеров; Мобильные приложения; Строительство бань и саун; Электромонтажные работы; Мебель для кухни; Монтаж сантехнического оборудования; Строительство дач и коттеджей; Внутренние системы отопления, водоснабжения, канализации; Корпусная мебель; Ремонт помещений; Кровельные работы; Проектирование инженерных систем; Ремонт зданий; Фасадные работы; Архитектурное проектирование; Кровельные материалы; Ландшафтный дизайн; Мебель для ванных комнат; Ремонт мебели; Высотные работы; Керамогранит",,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89122163874,,,,,http://наш-дом.com,,,,https://vk.com/nash_dome,https://wa.me/79122163874,,,,,,https://t.me/+79122163874,,,,,,https://2gis.com/firm/70000001099017681,branch
Уралмебель,фабрика,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебельные фасады; Бытовая техника,"улица Владимира Высоцкого, 50",2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-19:00,+05:00,4.7,47,89530518018,,,,,http://uralmebel96.ru,,,,https://vk.com/uralmebel96,https://wa.me/79530518018,,,,,,,,,,56.842655,60.698294,https://2gis.com/firm/70000001019273198,branch
ТаиС М,мебельная фабрика корпусной мебели,"Мебель на заказ; Мебельные фабрики; Детская мебель; Мебель для учебных учреждений; Офисная мебель; Корпусная мебель; Мебельные фасады; Мебель для кухни; Мебель для ванных комнат; ЛДСП, ДВПО, МДФ","Никольский переулок, 1 ст16",,620039,Старая Сортировка м-н,Железнодорожный район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,15,83433702906,83433229705,83433787136,,,http://taism.ru/,http://jivo.chat/wVGwO2xt11,,,https://vk.com/taism.ekat,https://wa.me/79505494769,,,,,,https://t.me/+79506349041,,,,56.885614,60.548272,https://2gis.com/firm/1267165676191990,branch
Феникс,компания,Мебель на заказ; Фасадные работы; Корпусная мебель; Окна; Входные двери; Фасадные материалы и конструкции; Мебель для кухни; Жалюзи; Кровельные материалы; Межкомнатные двери; Остекление и отделка балконов; Комплектующие для окон; Детская мебель,"Коммунистическая улица, 34",1 этаж,623384,,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,"Пн: 09:00-12:00, 13:00-18:00; Вт: 09:00-12:00, 13:00-18:00; Ср: 09:00-12:00, 13:00-18:00; Чт: 09:00-12:00, 13:00-18:00; Пт: 09:00-12:00, 13:00-18:00; Сб: 10:00-12:00, 13:00-15:00",+05:00,5.0,18,89049882008,,,,,http://fx-ultra.ru,,,,https://vk.com/id12345921,,,,,,,https://t.me/+79049882008,,,,56.4989,60.255502,https://2gis.com/firm/70000001051676694,branch
Эдельвейс,торгово-производственная фирма,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебельные фасады,"улица Юлиуса Фучика, 5",1 этаж,620130,Автовокзал м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.2,33,83433833244,88003503325,89022612789,,,http://edlvis.ru,,,,https://vk.com/edelveis.studio,,,,,,,,,,,56.798181,60.619289,https://2gis.com/firm/70000001032583166,branch
Capy Concept,компания по производству мебели,Мебель на заказ; Корпусная мебель; Мебельная фурнитура; Мебельные фасады; Мебель для кухни; Мебель из стекла; Мебель для ванных комнат; Офисная мебель,"Автомобильная улица, 13",3 этаж,350072,им. Петра Метальникова м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,5.0,2,89002422909,,,,,http://mebelburokrd.ru,http://vk.link/capy_concept,http://t.me/capy_concept,,https://vk.com/capy_concept,https://wa.me/79002422909,,,,,,,,,,45.091859,38.999124,https://2gis.com/firm/70000001097655935,branch
Dantone Home,мебельная компания,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мягкая мебель; Мебель для кухни; Детская мебель; Светотехника; Мебель для ванных комнат; Межкомнатные двери; Комплектующие для дверей; Ковры; Домашний текстиль; Посуда; Сувениры; Мебельная фурнитура; Мебельные фасады; Садово-парковая мебель,"улица Красных Партизан, 471",1 этаж,350049,,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-18:00,+03:00,3.7,6,88619449412,,,,,http://dantonehome.ru,http://t.me/dantonehome,http://jivo.chat/lezYzOcT4m,,https://vk.com/dantonehome,,,,,,,https://t.me/dantonehome,,,https://youtube.com/@dantonehome,45.050765,38.960621,https://2gis.com/firm/70000001037874255,branch
Deffo,торгово-производственная компания,Мебель на заказ; Мебельные фасады; Мебель для кухни; Корпусная мебель,"Новороссийская улица, 3/10",,350059,ХБК м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+03:00,4.0,8,89385311031,,,,,http://df-mdf.ru,http://t.me/df_mdf_com,http://max.ru/id262704310013_biz,,https://vk.com/df_mdf,https://wa.me/79385311031,,,,,,https://t.me/+79385311031,,,https://youtube.com/@df_mdf,45.030169,39.018491,https://2gis.com/firm/70000001023256724,branch
Eterno,офис,Мебель на заказ; Мебельные фасады,"Новороссийская улица, 172",228 офис; 2 этаж,350059,РМЗ м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+03:00,,,88619920440,88619920441,89885220792,,,http://idm-eterno.ru,http://jivo.chat/Lo7Up43fax,,,https://vk.com/globalgrup,https://wa.me/79892290820,https://wa.me/79885220792,,,,,https://t.me/+79885220792,,,,45.031342,39.022773,https://2gis.com/firm/70000001025257411,branch
Fortuna-color,производственная фирма,Мебель на заказ; Мебельные фасады; Корпусная мебель; Мебель для кухни; Ремонт мебели; Детская одежда; Офисная мебель; Мебель для учебных учреждений,"улица им. Академика Павлова, 2",1 этаж,350001,Дубинка м-н,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,5.0,1,89528137786,89288406111,89284262111,,,http://fortuna-color.ru,,,,https://vk.com/club134669620,https://wa.me/79528137786,https://wa.me/79288406111,https://wa.me/79284262111,,,,,,,,45.010381,39.000256,https://2gis.com/firm/70000001036800864,branch
FurniTex,торговый дом,Мебель на заказ; Мебельная фурнитура; Корпусная мебель; Офисная мебель; Мебельные фасады; Фасадные материалы и конструкции; Комплектующие для дверей,"улица Вишняковой, 3",1 этаж,350001,Дубинка м-н,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,"Пн: 09:00-13:30, 14:00-18:00; Вт: 09:00-13:30, 14:00-18:00; Ср: 09:00-13:30, 14:00-18:00; Чт: 09:00-13:30, 14:00-18:00; Пт: 09:00-13:30, 14:00-18:00",+03:00,5.0,1,89530751657,88619448220,89034118220,,,http://furnitex.net,,,,https://vk.com/futurumkrd,https://wa.me/79530751657,https://wa.me/79034118220,,,,,https://t.me/tdfurnitex,,,https://youtube.com/channel/UCR2J1z0JgRk8KdpFAM-z97A,45.012825,38.995741,https://2gis.com/firm/70000001027695411,branch
