Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Clever design,,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,"улица Радищева, 6а",2904г офис; 9 этаж; 2 подъезд,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,"Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительной записи: сб, вс)",+05:00,,,89954959505,89954955550,,,,http://www.clever-mebel.ru,,,,https://vk.com/studio_clever_design,https://wa.me/79954955550,,,,,,https://t.me/studio_clever,,,,56.83153,60.598982,https://2gis.com/firm/70000001091373098,branch
Cml,компания,Мебель на заказ; Мебель для кухни; Детская мебель; Корпусная мебель; Мебель для ванных комнат; Мягкая мебель; Офисная мебель,"Сибирский тракт 14 километр, 24а/1",,620007,Новокольцовский м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.6,11,89920099906,,,,,http://cml96.ru,,,,https://vk.com/comfort_ml,https://wa.me/79920099906,,,,,,https://t.me/Mebel_ekb1,,,,56.7786,60.774676,https://2gis.com/firm/70000001061360102,branch
Craftlab,производственная компания,Мебель на заказ; Мебель для общественного питания; Мебель для кухни; Оборудование для салонов красоты; Офисная мебель; Техника для склада; Стеллажи и витрины; Мебель для ванных комнат; Металлическая мебель; Торгово-выставочное оборудование; Корпусная мебель; Детская мебель,"улица Большой Конный полуостров, 5/1",2 этаж,620131,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,5.0,4,89655458458,,,,,http://vk.link/craftlabekb,http://t.me/craftlabekb,,,https://vk.com/craftlabekb,https://wa.me/79655458458,,,,,,,,,,56.84597,60.499486,https://2gis.com/firm/70000001029448385,branch
DaVita-мебель,фирменный салон мебели для дома и офиса,Мебель на заказ; Мебельные магазины; Мебель для кухни; Детская мебель; Корпусная мебель,"улица Владимира Высоцкого, 50",2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,11,89090066792 (менеджер-дизайнер),89090066963 (менеджер-дизайнер),89090066589,,,http://vk.ru/davita_mebel,http://dzen.ru/davitamebel,http://max.ru/davita_mebel,,https://vk.com/davita_mebel,https://wa.me/79090067085,,,,,,https://t.me/davitamebelru,,,https://youtube.com/channel/UC9Wxv6ZN2XaHWx2RYIxYM1g,56.843346,60.697579,https://2gis.com/firm/70000001045825324,branch
DelArte,проектная фабрика мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель; Мебель для ванных комнат; Детская мебель,"Нагорная улица, 16",7 офис; 1 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,4.9,18,83433725252,,,,,http://delarte.pro,,,,,https://wa.me/79120455252,,,,,,https://t.me/+79120455252,,,,56.837184,60.563558,https://2gis.com/firm/70000001027122074,branch
dinastiya.brz,производственная база,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни,"улица Ленина, 65",23 офис; 2 этаж,623706,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи),+05:00,1.4,1,89126372257,,,,,http://taplink.cc/dinastiya.brz,,,,,https://wa.me/79126372257,,,viber://chat/?number=79126372257,,,https://t.me/+79126372257,,,,56.910704,60.799585,https://2gis.com/firm/70000001037451581,branch
Dream kitchen,мебельная компания,Мебель на заказ; Мебель для кухни; Корпусная мебель,"Марата, 17",408 офис; 4 этаж,620034,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи),+05:00,4.8,23,83433281591,89221881591,,,,http://d-kitchen.ru,,,,,https://wa.me/79221881591,,,,,,,,,,56.855729,60.548982,https://2gis.com/firm/70000001026600555,branch
Edlen,производственная компания,Мебель на заказ; Мебельные ткани; Бескаркасная мебель; Детская мебель; Домашний текстиль; Корпусная мебель; Мягкая мебель; Мебель для кухни; Офисная мебель; Ремонт мебели,,белая стеклянная дверь с левой части здания,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,89326063747,,,,,http://prodammebel96.ru,,,,https://vk.com/edlen_brz,https://wa.me/79089054275,,,,,,,,,https://youtube.com/@EDLEN96,56.915974,60.795543,https://2gis.com/firm/70000001102662495,branch
Empoli,салон итальянской мебели,Мебель на заказ; Мягкая мебель; Корпусная мебель; Детская мебель; Мебель для кухни,"Студенческая улица, 11",224 бутик; 2 этаж,620137,Втузгородок м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-19:00,+05:00,,,83432865526,,,,,http://www.empoli-m.ru,,,,,,,,,,,https://t.me/empoli_showroom,,,,56.850558,60.662403,https://2gis.com/firm/70000001022000627,branch
ENLI,салон кухни,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель,"улица Щербакова, 4",3 этаж,620076,Уктус м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,5,89530460502,,,enli.ekb@mail.ru,,http://enli.ru,,,,https://vk.com/enli_ekb,,,,,,,https://t.me/+79530460502,,,,56.788508,60.648743,https://2gis.com/firm/70000001103587982,branch
ENLI,салон кухни,Мебель на заказ; Мебель для кухни; Корпусная мебель,"Верх-Исетский бульвар, 13",А корпус; 314 офис; 3 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,11,89995693357,,,enli.ekb@mail.ru,,http://max.ru/u/f9LHodD0cOKp4_utrh6CqhRL1XphbPquR7COHfdPG5mfhn8Dzag6d2antnY,,,,https://vk.com/club35351863,,,,,,,https://t.me/+79995693357,,,,56.838146,60.574088,https://2gis.com/firm/70000001039047328,branch
Fillini,студия кухонных интерьеров,Мебель на заказ; Мебель для кухни; Корпусная мебель,"улица Радищева, 10",цокольный этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,5.0,3,89122509992,,,,,http://fillinikitchen.ru,,,,https://vk.com/fillini_kitchen,,,,,,,https://t.me/fillini_kitchen,,,,56.830775,60.597803,https://2gis.com/firm/70000001038830152,branch
Fm13,фабрика мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Машинная улица, 1в/3",1 этаж,620142,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-17:00 (по предварительной записи),+05:00,5.0,2,89122601390,,,info@fm13.ru,,http://fm13.ru,,,,https://vk.com/fm13_ru,https://wa.me/79122601390,,,,,,https://t.me/fm13_studio,,,,56.81516,60.632084,https://2gis.com/firm/70000001102683949,branch
Formand Furniture,компания по изготовлению мебели,Мебель на заказ; Мебель для кухни; Мебель для общественного питания; Медицинская и лабораторная мебель; Офисная мебель,"улица Кирова, 28",142 помещение; 2 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-17:00",+05:00,5.0,2,89221752001,83432885350,,,,http://formand-furniture.com,,,,https://vk.com/formand_furniture,https://wa.me/79221752001,,,,,,https://t.me/FormandFurniture,,,,56.83998,60.556565,https://2gis.com/firm/70000001080478541,branch
Forpost shop,склад,Мебель на заказ; Мебельные магазины; Корпусная мебель; Офисная мебель; Мебель для кухни; Мебель для общественного питания,"40-летия Комсомола, 38е",2 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,4.7,124,89221959392,89223457405,,,,http://ekb.forpost-shop.ru,,,,https://vk.com/forpostshopekb,https://wa.me/79221959392,,,,,,,,,https://youtube.com/channel/UCamMPgpP1bf9_z-bGhRKraA,56.824296,60.700682,https://2gis.com/firm/70000001051700205,branch
Garda Decor,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Керамические изделия; Портьерные ткани и шторы; Мебель для кухни; Домашний текстиль; Мебель для общественного питания,"улица Малышева, 8",318 бутик; 3 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-19:00,+05:00,5.0,6,89222229025,,,,,http://garda-opt.ru,,,,https://vk.com/club211192564,,,,,,,https://t.me/+79222229025,,,,56.832218,60.586298,https://2gis.com/firm/70000001042571990,branch
GaStone,фабрика мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Облицовочный камень,"Цвиллинга, 1",3 этаж; галерея А,620142,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.6,74,89225601631,,,,,http://promo.gastone.ru,,,,https://vk.com/fabrikamebeligastone,,,,,,,https://t.me/+79225601631,,,https://youtube.com/channel/UCL4KCQt1Dc0HKlb8_H-km5Q,56.816733,60.625992,https://2gis.com/firm/70000001100412421,branch
Giulia Novars,салон кухни,Мебель на заказ; Мебель для кухни; Межкомнатные двери; Корпусная мебель; Мебель для ванных комнат,"улица Малышева, 8",109 бутик; 1 этаж,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-19:00,+05:00,5.0,3,83432875960,,,,,http://giulianovars.ru,http://t.me/giulianovars_official,,,https://vk.com/giulianovars_official,https://wa.me/79965939583,,,,,,,,,https://youtube.com/channel/UCAX7pDkziM0CPUMRS3slk8A,56.831962,60.585128,https://2gis.com/firm/70000001021237570,branch
Handswood,"магазин столов, стульев и тумб",Мебель на заказ; Мебель для кухни,"Новинская улица, 2Б",3 этаж,620024,Елизавет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-16:00; Вт: 09:00-16:00; Ср: 09:00-16:00; Чт: 09:00-16:00; Пт: 09:00-16:00 (по предварительному звонку),+05:00,5.0,7,89126467697,,,,,http://handswood-store.ru,,,,https://vk.com/hands_wood,https://wa.me/79126467697,,,,,,https://t.me/+79126467697,,,,56.767038,60.620398,https://2gis.com/firm/70000001043567387,branch
Hardbark,столярная мастерская,Мебель на заказ; Мебель для кухни; Корпусная мебель; Межкомнатные двери; Мебель для общественного питания,"Садовая улица, 1Б",,620902,Горный Щит с.,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,2,89538288886,,,,,http://hardbark.ru,http://t.me/hardbarkekb,http://max.ru/79538288886,,https://vk.com/legistaev,,,,,,,,,,,56.690984,60.504717,https://2gis.com/firm/70000001026816580,branch
Hoff,гипермаркет мебели и товаров для дома,Мебель на заказ; Мебельные магазины; Мягкая мебель; Офисная мебель; Детская мебель; Мебель для кухни; Бескаркасная мебель; Бытовая химия; Карнизы; Керамические изделия; Ковры; Кондитерский инвентарь; Матрасы; Мебель из стекла; Металлическая мебель; Портьерные ткани и шторы; Домашний текстиль; Посуда; Садово-парковая мебель; Хозтовары; Корпусная мебель; Мебель для ванных комнат,"проспект Космонавтов, 108д",1 этаж,620058,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.7,698,83433023593,,,info@hoff.ru,client@stores.hoff.ru,http://hoff.ru/promo/kuhnya_mechty/?utm_campaign=pr_null_always-on_all-segments_03_&utm_content=2gis-maps-button_null_static_null&utm_medium=media&utm_source=2gis&utm_term=all_all_all_null_,http://hoff.ru/catalog/actions/sleep_experts,,,https://vk.com/hoffrus,,,,,,,https://t.me/hoff_inspiration,,,https://youtube.com/user/hoffrussia,56.917082,60.614206,https://2gis.com/firm/70000001053392663,branch
