Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Золотая пчела,компания по производству мебели,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель,"Западная промышленная зона, 24а/2",,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+05:00,,,89502072775,89122588512,,,,,,,,https://vk.com/golden_bee96,,,,,,,,,,,56.92668,60.762863,https://2gis.com/firm/70000001115022819,branch
Золотая пчела,компания по производству мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мягкая мебель; Офисная мебель,"Западная промышленная зона, 24/1а",19 офис; 2 этаж,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,4.2,10,89122588512,89502072775,,,,,,,,https://vk.com/goldenbee_ekb,https://wa.me/79502072775,https://wa.me/79122588512,,,,,,,,,56.927236,60.763228,https://2gis.com/firm/1267165676720567,branch
Золотая пчела,студия уюта мебели,Мебель на заказ; Мягкая мебель; Корпусная мебель; Мебель для кухни; Мебельная фурнитура,"улица Попова, 20",3 офис; 1 этаж; вход со двора; домофон 101,620014,Центр м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: сб-вс),+05:00,,,89122588512,89090025200,,,,http://t.me/goldenbee96,,,,https://vk.com/goldenbee_ekb,https://wa.me/79122588512,,,,,,https://t.me/goldenbee96,,,,56.834598,60.585095,https://2gis.com/firm/70000001110257225,branch
И4л,,Мебель на заказ; Деревообработка; Фрезеровка неметаллов,"Удельная улица, 5 лит З",,620036,Широкая Речка м-н,Академический район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,89237314447,,,,,,,,,https://vk.com/i4lek,https://wa.me/79237314447,,,,,,,,,,56.796586,60.485084,https://2gis.com/firm/70000001099134822,branch
Игуана-мебель,салон столов и стульев,Мебель на заказ; Мебельные магазины; Мебель для кухни; Мебель для общественного питания,"40-летия Комсомола, 38н",Б корпус; 1 этаж,620072,ЖБИ м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,1.3,7,89033555234,,,,,,,,,,,,,,,,,,,,56.82412,60.705769,https://2gis.com/firm/70000001035583685,branch
Империя мебели,мебельный магазин,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мягкая мебель,"улица Халтурина, 55",цокольный этаж; магазин Спортмастер,620034,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1,,,,,,,,,,https://vk.com/id601247766,,,,,,,,,,,56.852755,60.550191,https://2gis.com/firm/70000001112956543,branch
Ингрид,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Мягкая мебель,"улица Косарева, 5",1 этаж,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-18:00,+05:00,1.0,3,83432584248,,,,,,,,,,,,,,,,,,,,56.7493,60.6971,https://2gis.com/firm/1267165676658368,branch
ИнтерДом,,Мебель на заказ; Корпусная мебель,,,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,,,83432003102,,,,,,,,,https://vk.com/interdom196,,,,,,,,,,,56.750455,60.743838,https://2gis.com/firm/70000001112707157,branch
Интерес,мебельная фабрика,Мебель на заказ; Мебельные магазины; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Мебель для кухни; Офисная мебель,"Верх-Исетский бульвар, 13в",А корпус; 2 этаж; справа от лестницы и лифта,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,10,83433121462 (единый номер),,,,,http://t.me/mebel_fabrika_interes_ekb,,,,https://vk.com/shkaf.kupe,,,,,,,,,,,56.838048,60.574447,https://2gis.com/firm/70000001099888607,branch
Кмк,компания,Мебель на заказ; Корпусная мебель; Детская мебель; Офисная мебель,"Сибирский тракт 14 километр, лит 98",,620007,Новокольцовский м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-16:00,+05:00,,,89122327070,,,,,,,,,https://vk.com/kmkgrup,https://wa.me/79122267070,,,,,,,,,,56.780951,60.774526,https://2gis.com/firm/70000001072686931,branch
Компания по изготовлению мебели,,Мебель на заказ; Корпусная мебель,"Новокольцовская улица, 5",,620060,Кольцово м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:30-18:00; Вт: 09:30-18:00; Ср: 09:30-18:00; Чт: 09:30-18:00; Пт: 09:30-18:00,+05:00,,,89025032117,,,,,,,,,,,,,,,,,,,,56.762542,60.825911,https://2gis.com/firm/70000001113161628,branch
Компания по изготовлению мебели,,Мебель на заказ; Корпусная мебель; Офисная мебель,"улица Чапаева, 6",21 офис; 2 этаж,624003,,,Арамиль,Арамильский городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительному звонку),+05:00,5.0,2,89827498519,,,,,,,,,,https://wa.me/79827498519,,,,,,,,,,56.697095,60.834532,https://2gis.com/firm/70000001088774007,branch
Компания по продаже мебели,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни; Матрасы,"улица Коммуны, 34",1 этаж,624022,,,Сысерть,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-17:00; Вс: 11:00-16:00,+05:00,,,89126210623,,,,,,,,,,https://wa.me/79126210623,,,,,,,,,,56.504695,60.815506,https://2gis.com/firm/70000001062034762,branch
Компания по производству кроватей и матрасов,,Мебель на заказ; Матрасы; Корпусная мебель,"Самолётная улица, 55",,620087,Уктус м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 11:00-16:00; Вс: 11:00-16:00,+05:00,,,89000382924,89920263631,,,,,,,,,,,,,,,,,,,56.773131,60.623612,https://2gis.com/firm/70000001115336219,branch
Компания по производству мягкой мебели для офисов и кафе,,Мебель на заказ; Мягкая мебель,"Ржевская улица, 98",,620039,Уралмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,,,,,,,,,,,,,https://wa.me/79827519435,,,,,,,,,,56.882445,60.555643,https://2gis.com/firm/70000001043454481,branch
Компания по сборке мебели,,Мебель на заказ; Сборка мебели; Ремонт мебели,"улица Чемпионов, 1",,620103,Солнечный м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,"Пн: 09:00-13:00, 14:00-21:00; Вт: 09:00-13:00, 14:00-21:00; Ср: 09:00-13:00, 14:00-21:00; Чт: 09:00-13:00, 14:00-21:00; Пт: 09:00-13:00, 14:00-21:00; Сб: 09:00-13:00, 14:00-21:00",+05:00,,,89024424301,,,,,,,,,,,,,,,,https://t.me/Plotnikov_Pavel7,,,,56.747372,60.571424,https://2gis.com/firm/70000001112713042,branch
Компания по изготовлению корпусной мебели,,Мебель на заказ; Корпусная мебель,"Западная улица, 19",,623721,,,,Березовский муниципальный округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00,+05:00,,,89221213991 (единая справочная: пн-вс 9:00-21:00),89028742105 (единая справочная - пн-вс 9:00-21:00),,,,,,,,,https://wa.me/79221213991,,,,,,https://t.me/cherkasova86,,,,57.046533,60.845893,https://2gis.com/firm/70000001099128934,branch
Компания по изготовлению корпусной мебели,,Мебель на заказ; Корпусная мебель,"улица Бебеля, 118",2 подъезд,620034,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-16:00; Вс: 10:00-16:00,+05:00,,,89221213991 (единая справочная: пн-вс 9:00-21:00),89028742105 (единая справочная - пн-вс 9:00-21:00),,,,,,,,,https://wa.me/79221213991,,,,,,https://t.me/cherkasova86,,,,56.849803,60.559935,https://2gis.com/firm/70000001022036842,branch
Компания по производству мебели на заказ,,Мебель на заказ; Мебель для кухни; Корпусная мебель,"проспект Ленина, 31",,624272,,,Асбест,Асбестовский муниципальный округ,Свердловская область,Россия,"Пн: 10:00-13:00, 14:00-19:00; Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,,,89221584622,,,,,,,,,,,,,,,,,,,,57.009579,61.460262,https://2gis.com/firm/70000001051647690,branch
Купе Урал,студия мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель; Детская мебель,"Верх-Исетский бульвар, 13в",В корпус; 312 офис; 3 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00 (по предварительному звонку),+05:00,3.2,5,89193676150,,,,,,,,,https://vk.com/club117041247,https://wa.me/79193676150,,,,,,,,,,56.837731,60.574345,https://2gis.com/firm/70000001019546031,branch
КухМаркет,офис,Мебель на заказ; Мебель для кухни; Корпусная мебель,"Верх-Исетский бульвар, 13",403 офис; 4 этаж,620028,ВИЗ м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительному звонку),+05:00,3.0,2,89045468628,,,,,,,,,,https://wa.me/79045468628,,,,,,,,,,56.838283,60.573993,https://2gis.com/firm/70000001065291969,branch
Кухни 2.0,компания,Мебель на заказ; Мебель для кухни; Корпусная мебель,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,11,89226107020,,,,,,,,,,https://wa.me/79226107020,,,,,,,,,,,,https://2gis.com/firm/70000001066422703,branch
КрыльцOff,столярная мастерская,Мебель на заказ; Товары для бань и саун; Строительство бань и саун; Корпусная мебель,"улица Кирова, 26 к4",,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+05:00,4.0,4,89292138001,,,,,,,,,,https://wa.me/79292138001,,,,,,,,,,56.915018,60.795675,https://2gis.com/firm/70000001078309831,branch
Лестницы Екатеринбурга,торговая компания,Мебель на заказ; Интерьерные лестницы,"улица Данилы Зверева, 31и",1 этаж,620137,Пионерский м-н,Кировский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительному звонку),+05:00,,,,,,,,,,,,,,,,,,,,,,,56.871105,60.649298,https://2gis.com/firm/70000001115222486,branch
Лига цвета,производственная компания,Мебель на заказ; Офисная мебель; Мебель для кухни; Мебельные фасады; Торгово-выставочное оборудование,"Бисертская улица, 1",,620024,Елизавет м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,,,89122087406,,,,,,,,,,https://wa.me/79122087406,,,,,,,,,,56.741386,60.607716,https://2gis.com/firm/1267165676309578,branch
Лилиана,студия мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Профсоюзная улица, 43",-1 этаж,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,78,83432878745,,,,,,,,,https://vk.com/club45585362,,,,,,,,,,,56.75425,60.691681,https://2gis.com/firm/70000001007326921,branch
Лазурит-купе,цех,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Уральская улица, 66",,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (по предварительному звонку),+05:00,3.0,1,83432682617,89045438087,,,,,,,,,https://wa.me/79045438087,,,,,,,,,,56.905719,60.785245,https://2gis.com/firm/1267165677111719,branch
Ламель,компания по производству мебели,Мебель на заказ; Корпусная мебель,"улица Толедова, 43Б",2 этаж,620990,Заречный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,89090171982,,,,,,,,,,https://wa.me/79090171982,,,,,,https://t.me/+79090171982,,,,56.854083,60.546713,https://2gis.com/firm/70000001114285879,branch
Лауд Лаб,компания,Мебель на заказ; Изготовление рекламных конструкций; Световая реклама; Быстровозводимые здания,"улица Ленина, 51",,624013,,,,Сысертский муниципальный округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,,,89222080827,,,,,,,,,https://vk.com/vyveskiurala_ru,,,,,,,,,,,56.6258,61.018049,https://2gis.com/firm/70000001105261644,branch
Леди Стол,магазин столов и стульев,Мебель на заказ; Мебель для кухни; Офисная мебель,"улица Бахчиванджи, 2 лит С4",1 этаж,620025,Кольцово м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,5.0,1,89221071709,,,,,,,,,,https://wa.me/79827524311,,,viber://chat/?number=79827524311,,,https://t.me/+79827524311,,,,56.76024,60.803806,https://2gis.com/firm/70000001093464459,branch
Мастерская корпусной мебели,,Мебель на заказ; Корпусная мебель,"Турбинная улица, 41Б",1 этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,89122804320,,,,,,,,,,https://wa.me/79122804320,,,,,,,,,,56.874625,60.628706,https://2gis.com/firm/70000001023930586,branch
Мастерская мебели,ИП Иванов М.Г.,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Берёзовский тракт, 5а",,623700,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+05:00,,,89527298378,,,,,,,,,https://vk.com/mebel_m_i,,,,,,,,,,,56.903972,60.770848,https://2gis.com/firm/70000001113530887,branch
Мастерская по изготовлению и перетяжке мебели,,Мебель на заказ; Мягкая мебель; Ремонт мебели,"улица Фронтовых Бригад, 18 к2",213 помещение; 2 этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,5.0,3,89678540560,,,,,,,,,https://vk.com/workshopmebelekb,https://wa.me/79678540560,,,,,,https://t.me/+79678540560,,,,56.87762,60.638714,https://2gis.com/firm/70000001069295397,branch
МебелеС,салон мебели,Мебель на заказ; Корпусная мебель,"Театральная улица, 6",2 этаж,623701,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,5.0,1,89018504855,,,,,,,,,https://vk.com/mebeles_salon,,,,,,,,,,,56.907256,60.810316,https://2gis.com/firm/70000001100304165,branch
Мебель-Маркет,,Мебель на заказ; Корпусная мебель; Мягкая мебель; Мебель для кухни; Офисная мебель; Детская мебель; Домашний текстиль,"улица Жуковского, 25",1 этаж,623286,,,Ревда,Ревда муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-18:00,+05:00,2.5,1,89221000091,,,,,,,,,https://vk.com/mebelmarket.revda,,,,,,,https://t.me/+79221000091,,,,56.799193,59.904336,https://2gis.com/firm/70000001007543211,branch
Мебель+,салон,Мебель на заказ; Офисная мебель; Мягкая мебель; Корпусная мебель; Мебель для кухни,"улица Ленина, 23а",2 этаж,623101,Центр м-н,,Первоуральск,Первоуральск муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-17:00,+05:00,4.0,2,,,,,,,,,,,,,,,,,,,,,56.913796,59.943131,https://2gis.com/firm/70000001007002545,branch
