Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Евко,компания по изготовлению мягкой мебели,Мебель на заказ; Мягкая мебель; Ремонт мебели; Стеновые панели,"Центральная улица, 130",,633100,,,,Новосибирский район,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,5.0,7,89833124810 (единая справочная - пн-вс 9:00-20:00),89134681937 (единая справочная - пн-вс 12:00-22:00),,,,,,,,https://vk.com/evkomebel,https://wa.me/79833124810,,,,,,https://t.me/+79833124810,,,,54.979604,82.715702,https://2gis.com/firm/70000001045301167,branch
Елан,компания по производству мебельных заготовок,"Мебель на заказ; Распиловка древесины; Офисная мебель; Мебельные фабрики; Мебель для кухни; Корпусная мебель; ДСП, ДВП, фанера; ЛДСП, ДВПО, МДФ","Горбаня, 31Б",,630024,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 09:00-11:45, 12:45-17:30; Вт: 09:00-11:45, 12:45-17:30; Ср: 09:00-11:45, 12:45-17:30; Чт: 09:00-11:45, 12:45-17:30; Пт: 09:00-11:45, 12:45-17:30",+07:00,,,89537727806,83833555855,,,,,,,,,https://wa.me/79537727806,,,,,,https://t.me/+79537727806,,,,54.957849,82.91164,https://2gis.com/firm/70000001114775594,branch
Емельяновские мастерские,компания по производству и продаже мебели из массива дерева,Мебель на заказ; Корпусная мебель; Офисная мебель; Ремонт мебели; Детская мебель; Мебель для кухни; Мебель для ванных комнат,"улица Королёва, 40 к1",3 этаж,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00 (по предварительному звонку),+07:00,,,89231266382,83832279426,,,,,,,,https://vk.com/emelyanovskayamebeli,,,,viber://chat/?number=79231266382,,,,,,,55.057205,82.959822,https://2gis.com/firm/70000001085596952,branch
Западная Сибирь,производственная компания,Мебель на заказ; Торгово-выставочное оборудование; Офисная мебель; Корпусная мебель,"улица Королёва, 40 к1",137 помещение; 1 этаж,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+07:00,4.7,3,89139449811,,,,,,,,,,,,,,,,,,,,55.058312,82.962176,https://2gis.com/firm/141265769456115,branch
Засыпай-ка,студия детского сна,Мебель на заказ; Детская мебель; Деревообработка,"Новая Заря, 2а к4",,630084,Авиастроителей м-н,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+07:00,,,89138480747,,,,,,,,,,,,,,,,,,,,55.074571,82.983534,https://2gis.com/firm/70000001089463399,branch
Звезда,"компания по производству мягких кухонных уголков, скамеек, пуфиков",Мебель на заказ; Мебель для кухни; Корпусная мебель; Мягкая мебель; Офисная мебель; Детская мебель,"Нижегородская улица, 280 к3",,630028,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку: пн-пт),+07:00,,,89639441880,,,,,,,,,https://vk.com/mmzvezda,https://wa.me/79639441880,,,,,,,,,,54.998071,82.980414,https://2gis.com/firm/70000001059440438,branch
Звено,компания,Мебель на заказ; Корпусная мебель; Монтаж охранно-пожарных систем,"Станционная улица, 38Б",,630108,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+07:00,,,83833600622,,,,,,,,,,,,,,,,,,,,55.000574,82.830425,https://2gis.com/firm/70000001032583162,branch
Зеркало-Эксклюзив,производственно-торговая компания,Мебель на заказ; Стекло и зеркала; Мебельная фурнитура; Мебель для ванных комнат; Мебельные фасады; Мебель для кухни; Бытовая техника,"Планировочная улица, 18/1",110 офис; 1 этаж,630032,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00 (по предварительному звонку),+07:00,,,89930073457 (единый номер: пн-вс 10:00-20:00),83832773457 (единый номер: пн-вс 10:00-20:00),,,,http://t.me/excluzivezerkalo,,,,,https://wa.me/79930073457,,,,,,,,,,54.99588,82.883354,https://2gis.com/firm/70000001040099580,branch
ИАС-Мебель,,Мебель на заказ; Корпусная мебель,"С-100, 8/3",,630501,,,,Новосибирский район,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+07:00,,,89628233286,,,,,,,,,,,,,,,,,,,,54.907573,82.990515,https://2gis.com/firm/70000001113260220,branch
Идеал,мебельная фабрика,Мебель на заказ; Мягкая мебель,"Байкальский переулок, 20",,630123,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.4,22,89529015159,,,,,,,,,,,,,,,,,,,,55.077323,82.898396,https://2gis.com/firm/70000001027109686,branch
Идея,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель; Детская мебель; Мебель для ванных комнат; Офисная мебель,"Кутателадзе, 4",1 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.7,23,89134864867,,,,,,,,,https://vk.com/mebel_idea_nsk,https://wa.me/79134864867,,,,,,https://t.me/+79134864867,,,,54.859216,83.103728,https://2gis.com/firm/70000001044482313,branch
Империал,производственно-монтажная компания,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни,"Большевистская улица, 177 к4",,630083,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,,,,,,,,,,,https://wa.me/79139864649,,,,,,,,,,54.994688,82.974748,https://2gis.com/firm/70000001006357070,branch
Интер,многопрофильная компания,Мебель на заказ; Мебель для кухни; Офисная мебель; Детская мебель; Мебель для учебных учреждений,"Северный проезд, 12/26",,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-17:30; Вт: 10:00-17:30; Ср: 10:00-17:30; Чт: 10:00-17:30; Пт: 10:00-17:30,+07:00,4.8,81,89132076952,89139851809,,,,,,,,,https://wa.me/79139851809,https://wa.me/79132076952,,,,,,,,,54.95157,82.912599,https://2gis.com/firm/141265769355596,branch
Интерио,мебельный салон,Мебель на заказ; Замки и скобяные изделия; Входные двери; Межкомнатные двери; Комплектующие для дверей; Мебель для кухни; Мягкая мебель; Корпусная мебель,"Нарымская улица, 17/1",1 этаж,630132,Челюскинский ж/м,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+07:00,3.5,7,83832205905,83832273656,,,,,,,,,,,,,,,https://t.me/interio54,,,,55.040966,82.906548,https://2gis.com/firm/141265769339184,branch
Интериум,мебельная мастерская,Мебель на заказ; Ремонт мебели,"Горский микрорайон, 72",цокольный этаж,630032,Горский м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,5.0,14,89830038683,,,,,,,,,https://vk.com/id1062355027,https://wa.me/79830038683,,,,,,,,,,54.994514,82.894161,https://2gis.com/firm/70000001103444190,branch
Интерьер,оптовая компания,Мебель на заказ; Дизайн интерьеров; Офисная мебель; Мягкая мебель; Сейфы,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+07:00,,,83832995777,,,,,,,,,,,,,,,,,,,,,,https://2gis.com/firm/70000001017458561,branch
Интерьерное Ателье Александра Осипова,фабрика мягкой мебели,Мебель на заказ; Мягкая мебель; Ремонт мебели; Мебель для культурно-досуговых учреждений; Детская мебель; Мебель для общественного питания; Медицинская и лабораторная мебель; Мебель для салонов красоты; Мебель для учебных учреждений; Офисная мебель; Дизайн интерьеров,"Большевистская улица, 109 к9",2 этаж,630009,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:30; Вт: 09:00-19:30; Ср: 09:00-19:30; Чт: 09:00-19:30; Пт: 09:00-19:30; Сб: 10:00-18:00; Вс: 10:00-16:00,+07:00,5.0,9,83832144300,89139124300,,,,,,,,,https://wa.me/79139124300,,,,,,https://t.me/+79139124300,,,,55.004496,82.948199,https://2gis.com/firm/70000001027441816,branch
ИП Глазков С.,,Мебель на заказ; Кузовной ремонт; Металлоизделия; Компьютерная диагностика автомобилей; Сварочные работы; Металлоконструкции для строительства; Металлическая мебель,"Уральская улица, 72",,630080,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,,,89607961956,,,,,,,,,,,,,,,,,,,,54.96211,83.138768,https://2gis.com/firm/70000001116000220,branch
Ирбис-М,компания,Мебель на заказ; Корпусная мебель; Офисная мебель,"Олимпийская улица, 37 к8",,630096,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,,,89537826101,89138958281,,,,,,,,,https://wa.me/79537826101,https://wa.me/79138958281,,,,,,,,,55.009013,82.801758,https://2gis.com/firm/70000001041665581,branch
Итд майзель,столярная мастерская,Мебель на заказ; Интерьерные лестницы; Садово-парковая мебель,"Дачная улица, 1",,630533,Электрон-2,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+07:00,,,89237075597 (единый номер: пн-сб 10:00-19:00),,,,,,,,,,https://wa.me/79237075597,,,,,,,,,,55.238379,82.867913,https://2gis.com/firm/70000001039236648,branch
К3,мебельная мастерская,Мебель на заказ; Сборка мебели; Мебельные ткани; Ремонт мебели,"улица Шаляпина, 8",3 офис; 2 этаж,630020,Северный м-н,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи),+07:00,5.0,15,89039974387,,,,,,,,,,https://wa.me/79039974387,,,,,,,,,,55.096458,82.932052,https://2gis.com/firm/70000001082453606,branch
К3,склад,Мебель на заказ; Мягкая мебель; Ремонт мебели; Сборка мебели; Стеновые панели; Мебельные ткани,"улица Объединения, 9а",17 бокс,630027,,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 12:00-16:00; Вт: 12:00-16:00; Ср: 12:00-16:00; Чт: 12:00-16:00 (по предварительной записи),+07:00,5.0,1,89039974387,,,,,,,,,,https://wa.me/79039974387,,,,,,,,,,55.096948,82.95336,https://2gis.com/firm/70000001055597192,branch
Калинка,,Мебель на заказ; Мягкая мебель,"Светлановская улица, 50",39 сектор; 2 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,,,83832304077,,,,,,,,,,,,,,,,,,,,55.08211,82.933105,https://2gis.com/firm/70000001107509873,branch
Каллиста Нск,,Мебель на заказ; Мебельные фабрики; Мебель для кухни; Мебель для ванных комнат; Распиловка древесины,"Бетонная улица, 12 к2",1 этаж,630024,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00,+07:00,5.0,15,89130660808,89137892421,,,,,,,,https://vk.com/public211504307,https://wa.me/79137892421,https://wa.me/79130660808,,,,,,,,,54.960623,82.916938,https://2gis.com/firm/70000001067235451,branch
Камеа,мебельная фабрика,Мебель на заказ; Корпусная мебель; Мебель для кухни,"Северный проезд, 32",1 этаж,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-16:00; Вт: 08:00-16:00; Ср: 08:00-16:00; Чт: 08:00-16:00; Пт: 08:00-16:00; Сб: 08:00-16:00; Вс: 08:00-16:00 (по предварительной записи),+07:00,,,,,,,,,,,,,,,,,,,,,,,54.950358,82.933109,https://2gis.com/firm/70000001059442780,branch
Клевер,фабрика мебели,Мебель на заказ; Корпусная мебель,"Светлановская улица, 50",28 сектор; 2 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.4,8,89529058346,,,,,,,,,https://vk.com/clever_groups,,,,,,,,,,,55.082111,82.934474,https://2gis.com/firm/70000001022345163,branch
Колизей,компания по изготовление мебели на заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Металлическая мебель,"Толмачёвское шоссе, 63/3",1 этаж,633100,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-14:00 (по предварительной записи),+07:00,4.7,25,83832813015,89830013015,,,,,,,,https://vk.com/colizeimebel,https://wa.me/79830013015,https://wa.me/79139452729,,,,,https://t.me/+79830013015,,,,54.981384,82.766127,https://2gis.com/firm/70000001023673300,branch
Командор Бердск,компания по изготовлению корпусной мебели на заказ,Мебель на заказ; Корпусная мебель,"улица Ленина, 29/1",2 этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Сб: 11:00-17:00 (по предварительному звонку),+07:00,5.0,2,89135884420,89134503341,,,,,,,,https://vk.com/komandor_berdsk,https://wa.me/79135884420,,,viber://chat/?number=79135884420,,,https://t.me/+79134503341,https://t.me/79134503341,,,54.763242,83.096399,https://2gis.com/firm/70000001068941950,branch
Компания Мастер,производственная фирма,Мебель на заказ; Мебельные фасады; Мебель для кухни; Корпусная мебель,"Софийская улица, 2Б к3",209 офис; 2 этаж,630056,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-12:00,+07:00,5.0,3,89139183898,89133817880,,,,,,,,,https://wa.me/79139183898,,,,,,,,,,54.855393,82.968835,https://2gis.com/firm/141265769356010,branch
Компания низких цен,торгово-производственная компания,Мебель на заказ; Окна; Входные двери; Натяжные потолки; Остекление и отделка балконов; Мебель для кухни; Офисная мебель; Межкомнатные двери; Корпусная мебель,"Тюменская улица, 8а",,630033,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-16:30; Вт: 08:00-16:30; Ср: 08:00-16:30; Чт: 08:00-16:30; Пт: 08:00-16:30 (по предварительному звонку),+07:00,1.0,1,89628266192 (контактный центр: пн-пт 8:30-20:00),83833596192 (контактный центр: пн-пт 8:30-20:00),,,,http://knc.su/?utm_source=2gis&utm_medium=knc.maps&utm_campaign=nsk,http://jivo.chat/f3FhUv6kj2,,,https://vk.com/mebelknc,,,,,,,https://t.me/+79050795543,,,,54.956185,82.952182,https://2gis.com/firm/70000001061593229,branch
Компания Низких Цен,торгово-производственная компания,Мебель на заказ; Мебель для кухни; Окна; Остекление и отделка балконов; Натяжные потолки; Офисная мебель; Корпусная мебель; Входные двери; Межкомнатные двери,"улица Ватутина, 23",1 этаж,630073,Башня ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-18:00; Вс: 08:00-18:00,+07:00,3.6,741,89628266192 (контактный центр: пн-пт 8:30-20:00),83833596192 (контактный центр: пн-пт 8:30-20:00),,,,http://knc.su/?utm_source=2gis&utm_medium=knc.maps&utm_campaign=nsk,http://jivo.chat/f3FhUv6kj2,,,https://vk.com/mebelknc,,,,,,,https://t.me/+79050795543,,,,54.984499,82.894764,https://2gis.com/firm/70000001018564534,branch
Компания по изготовлению изделий из металла для мебели,г. Новосибирск,Мебель на заказ; Торгово-выставочное оборудование; Сварочные работы; Интерьерные лестницы; Офисная мебель,"улица Сибиряков-Гвардейцев, 54г",110 офис,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00 (по предварительному звонку),+07:00,5.0,3,89235907940,89235999733,,,,http://t.me/metallmebelnsk,,,,https://vk.com/medved_metal_nsk,,,,,,,https://t.me/kretovich,,,,54.954516,82.898969,https://2gis.com/firm/70000001112648981,branch
Компания по изготовлению корпусной мебели,,Мебель на заказ; Корпусная мебель,"проспект Ленина, 28",6 офис; 2 этаж,633261,,,,Ордынский район,Новосибирская область,Россия,"Пн: 09:00-13:00, 14:00-17:00; Вт: 09:00-13:00, 14:00-17:00; Ср: 09:00-13:00, 14:00-17:00; Чт: 09:00-13:00, 14:00-17:00; Пт: 09:00-13:00, 14:00-17:00; Сб: 09:00-14:00",+07:00,5.0,1,89231270767,89133877065,,,,,,,,,https://wa.me/79231270767,https://wa.me/79133877065,,,,,,,,,54.367348,81.905416,https://2gis.com/firm/70000001027767561,branch
Компания по изготовлению корпусной мебели на заказ,,Мебель на заказ; Корпусная мебель,"Станционная улица, 38",1 этаж,630108,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,,,89025508102,,,,,,,,,,,,,,,,,,,,54.997574,82.845523,https://2gis.com/firm/70000001113472153,branch
