Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Студия шитья,,Мебель на заказ; Ремонт мебели; Мягкая мебель; Стеновые панели,"улица Мира, 35",2 этаж,624250,,,Заречный,Заречный муниципальный округ,Свердловская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительному звонку),+05:00,,,89634410211,,,,,,,,,https://vk.com/studiya_shitiya,https://wa.me/79634410211,,,,,,,,,,56.812177,61.327666,https://2gis.com/firm/70000001063754550,branch
Суворов,мастерская,Мебель на заказ; Ремонт мебели; Мебель для кухни,"улица Трубников, 7",,623388,,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89336203000,,,,,,,,,,,,,,,,,,,,56.489309,60.251154,https://2gis.com/firm/70000001115301849,branch
Сфера,,Мебель на заказ; Металлическая мебель; Корпусная мебель,,,,,,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,5.0,1,89222020562,,,,,,,,,,https://wa.me/79222020562,,,,,,https://t.me/+79222020562,,,,,,https://2gis.com/firm/70000001102381578,branch
Твой дом,торгово-монтажная компания,Мебель на заказ; Окна; Жалюзи; Входные двери; Остекление и отделка балконов; Мебель для кухни; Корпусная мебель; Комплектующие для окон; Перегородки; Рольставни; Натяжные потолки,"улица Грибоедова, 17",1 этаж,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 11:00-17:00,+05:00,,,83432193553,89049800576,,,,,,,,,,,,,,,,,,,56.754002,60.69884,https://2gis.com/firm/1267165676189889,branch
ФДМ Вектор,производственно-торговая компания,Мебель на заказ; Медицинская и лабораторная мебель; Мебель для учебных учреждений; Мебель для общественного питания; Мебель для культурно-досуговых учреждений,"Фрунзе, 96",713 офис; 7 этаж,620144,Автовокзал м-н,Ленинский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.7,3,89221313121,,,,,,,,,,,,,,,,,,,,56.812392,60.59551,https://2gis.com/firm/70000001019449544,branch
Филанея,мебельный магазин,Мебель на заказ; Мебельные магазины; Бытовая химия; Сантехника; Мебельная фурнитура; Мебельные фасады; Мебель для кухни; Офисная мебель; Корпусная мебель,"улица Ленина, 92",,624162,,,Верхний Тагил,Верхний Тагил муниципальный округ,Свердловская область,Россия,"Вт: 11:00-14:00, 15:00-17:00; Ср: 11:00-14:00, 15:00-17:00; Чт: 11:00-14:00, 15:00-17:00; Пт: 11:00-14:00, 15:00-17:00; Сб: 11:00-14:00, 15:00-17:00",+05:00,,,89506402992,,,,,,,,,https://vk.com/filaneja,,,,,,,,,,,57.373247,59.938172,https://2gis.com/firm/70000001115521586,branch
Шик,мебельный салон,Мебель на заказ; Корпусная мебель; Мебель для кухни; Натяжные потолки,"улица Трубников, 62",1 этаж,623104,Корабельная роща м-н,,Первоуральск,Первоуральск муниципальный округ,Свердловская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-17:00; Вс: 11:00-17:00,+05:00,4.3,3,89655064070,89028758386,,,,,,,,https://vk.com/club184638421,https://wa.me/79028758386,,,,,,,,,,56.901558,59.953027,https://2gis.com/firm/70000001038343640,branch
ШкафоFF,салон мебели,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни,"улица Корепина, 1а",8 офис; 2 этаж,620091,Эльмаш м-н,Орджоникидзевский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 12:00-19:30; Вт: 12:00-19:30; Ср: 12:00-19:30; Чт: 12:00-19:30; Пт: 12:00-19:30 (по предварительной записи),+05:00,4.9,18,89826555891,,,,,,,,,https://vk.com/club72712043,,,,viber://chat/?number=79826555891,,,https://t.me/zakazmebel9,,,,56.885205,60.621836,https://2gis.com/firm/70000001018600076,branch
Уютный дом,мебельный магазин,Мебель на заказ; Корпусная мебель; Сухие строительные смеси; Кровельные материалы; Жалюзи; Натяжные потолки; Окна; Межкомнатные двери,"микрорайон Зелёный Бор-2, 7а/1",,623382,Зелёный Бор-2 м-н,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89000447271,89089020965,,,,,,,,,https://wa.me/79089020965,,,,,,,,,,56.512537,60.268972,https://2gis.com/firm/70000001090677907,branch
Фабрика комфорта,торговая компания,Мебель на заказ; Мебель для кухни; Мебельная фурнитура; Корпусная мебель; Мебель для ванных комнат; Детская мебель; Офисная мебель,"улица Черняховского, 62Б",,620010,Химмаш м-н,Чкаловский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,1.0,1,83433457263,,,,,,,,,,,,,,,,,,,,56.752218,60.722049,https://2gis.com/firm/1267165676372452,branch
УралПромГрупп,,Мебель на заказ; Офисная мебель; Корпусная мебель; Мебель для кухни,"Сибирский тракт 14 километр, лит 98",,620007,Новокольцовский м-н,Октябрьский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,3.0,10,89122760292,,,,,,,,,,https://wa.me/79122760292,,,,,,,,,,56.781553,60.774858,https://2gis.com/firm/70000001055317048,branch
Уральский дом,мебельная компания,Мебель на заказ; Мебельные фабрики; Мебель для кухни; Детская мебель; Офисная мебель,"Республиканская улица, 65 ст1",,623284,,,Ревда,Ревда муниципальный округ,Свердловская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,89827143410,,,,,,,,,,https://wa.me/79827143410,,,,,,,,,,56.824749,59.924597,https://2gis.com/firm/70000001007008105,branch
Успех,оптовая компания,Мебель на заказ; Игрушки; Мебель для учебных учреждений; Корпусная мебель; Детская мебель; Канцтовары,"улица Петрова, 59Б",18 офис; 4 этаж,624092,,,Верхняя Пышма,Верхняя Пышма городской округ,Свердловская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,1.0,1,83433611463,83433611475,,,,,,,,,,,,,,,,,,,56.95733,60.610521,https://2gis.com/firm/70000001017933378,branch
Учебный комфорт,торгово-производственная компания,Мебель на заказ; Мебель для учебных учреждений; Корпусная мебель; Офисная мебель,"Посадская улица, 21 лит А1",219 офис; 2 этаж,620102,Юго-Западный м-н,Верх-Исетский район,Екатеринбург,Екатеринбург городской округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-17:30,+05:00,2.2,8,83432127072 (единая справочная - пн-чт 10:00-18:00; пт 10:00-17:30),83432337598 (единая справочная - пн-чт 10:00-18:00; пт 10:00-17:30),83432337544 (единая справочная - пн-чт 10:00-18:00; пт 10:00-17:30),,,,,,,,,,,,,,,,,,56.824583,60.568967,https://2gis.com/firm/1267165676585853,branch
Уют,Мебельный магазин,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель,"улица Анучина, 3а",цокольный этаж,623701,,,Березовский,Березовский муниципальный округ,Свердловская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,2,89041651197,,,,,,,,,,,,,,,,,,,,56.908349,60.819295,https://2gis.com/firm/70000001106077002,branch
Эстет,студия мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни,"улица Ленина, 10",1 этаж,623388,,,Полевской,Полевской муниципальный округ,Свердловская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,,,89530098455,,,,,,,,,https://vk.com/estetmebel96,,,,,,,,,,,56.494245,60.237872,https://2gis.com/firm/70000001090821584,branch
12 стульев,,Мебель на заказ; Ремонт мебели; Стеновые панели; Мягкая мебель,"улица Крупской, 2/2",2 этаж; заезд с ул. Крупской 2/9,350910,Пашковский м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00 (по предварительному звонку),+03:00,5.0,4,89628599980,,,,,,,,,,https://wa.me/79628599980,,,,,,https://t.me/+79628599980,,,,45.013221,39.101986,https://2gis.com/firm/70000001067358548,branch
123Дивана.рф,компания,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель,"Средняя улица, 54",,350053,Сады Калинина м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,3.0,5,89181446060,,,,,,,,,,https://wa.me/79181446060,,,,,,,,,,45.106404,38.932816,https://2gis.com/firm/70000001076846865,branch
21 век,мебельный магазин,Мебель на заказ; Мягкая мебель; Корпусная мебель,"Уральская улица, 77/7",2 этаж,350059,РМЗ м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,,,89180880059,89628884848,,,,,,,,,https://wa.me/79180880059,https://wa.me/79628884848,,,,,https://t.me/+79180880059,,,,45.032697,39.048512,https://2gis.com/firm/70000001069231832,branch
23 кроватки,магазин детских кроватей,Мебель на заказ; Детская мебель; Домашний текстиль; Матрасы; Мягкая мебель,"1 Мая улица, 401",3 этаж,350087,Калинино м-н,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-16:00,+03:00,4.6,5,89034451213,,,,,,,,,,https://wa.me/79034451213,,,,,,,,,,45.088041,39.019638,https://2gis.com/firm/70000001061050766,branch
Altarf,фирма по производству мебели,Мебель на заказ; Мебель для кухни,,,,,,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+03:00,1.0,1,89676611103,89892124489,,,,http://t.me/altarf_mebel,,,,https://vk.com/altarf_mebel,,,,,,,,,,,,,https://2gis.com/firm/70000001111747129,branch
Amd,салон мебели,Мебель на заказ; Корпусная мебель; Мебель для кухни; Бытовая техника,"проспект Дзержинского, 211",4 этаж,353925,,Южный район,Новороссийск,Новороссийск городской округ,Краснодарский край,Россия,Вт: 12:00-18:00; Ср: 12:00-18:00; Чт: 12:00-18:00; Пт: 12:00-18:00; Сб: 12:00-18:00 (по предварительному звонку),+03:00,5.0,6,89673007662,89282727662 (руководитель),,,,,,,,https://vk.com/amdmebel,https://wa.me/79298397662,,,,,,,,,,44.683965,37.778811,https://2gis.com/firm/70000001058809972,branch
Andre mebel,производственная компания,Мебель на заказ; Корпусная мебель; Офисная мебель; Мебель для кухни; Мебель для ванных комнат; Детская мебель,"Магистральная улица, 1",,350018,КСК м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,,,89124900444,,,,,,,,,https://vk.com/andre_mebel,https://wa.me/79124900444,,,,,,https://t.me/+79124900444,,,,45.031107,39.062916,https://2gis.com/firm/70000001054058229,branch
Aran cucine,кухонная студия,Мебель на заказ; Мягкая мебель; Мебель для кухни; Мебель для ванных комнат; Корпусная мебель; Ароматовары; Светотехника; Домашний текстиль,"Рашпилевская улица, 238",1 этаж,350051,,Западный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00; Сб: 10:00-17:00,+03:00,3.6,3,89183217787,89183643064,,,,,,,,,https://wa.me/79183217787,https://wa.me/79183643064,,,,,https://t.me/+79183643064,https://t.me/+79183217787,,,45.060398,38.973005,https://2gis.com/firm/70000001033047778,branch
Aristo,салон мебели,Мебель на заказ; Офисная мебель; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат,"Приветливая улица, 26",,353475,Магилат м-н,,Геленджик,Геленджик городской округ,Краснодарский край,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-16:00,+03:00,3.7,3,89186377750,88614145899,,,,,,,,,https://wa.me/79184605899,https://wa.me/79186377750,,,,,,,,,44.549514,38.09339,https://2gis.com/firm/70000001024579567,branch
Artwel,производственный склад,Мебель на заказ; Металлоизделия; Мебель для общественного питания; Металлическая мебель,"Одесская улица, 48/3 лит Ю",1 этаж,350015,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+03:00,,,,,,,,,,,,,,,,,,,,,,,45.044927,38.990369,https://2gis.com/firm/70000001112750888,branch
Astera,компания по производству корпусной мебели,Мебель на заказ; Корпусная мебель,"Новороссийская улица, 57",2 этаж,350080,Восточная промышленная зона м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00; Сб: 08:00-13:00,+03:00,,,89528245440,,,,,,,,,https://vk.com/astera_wood,https://wa.me/79528245440,,,,,,https://t.me/+79528245440,,,,45.042965,39.085731,https://2gis.com/firm/70000001076003304,branch
Astral Wood,производственный цех мебели лофт,Мебель на заказ; Стеновые панели; Офисная мебель,"Карла Гусника, 17/12 ст1","3, 4 складское помещение; 1 этаж",350031,Лекраспром пос.,Прикубанский округ,,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительному звонку),+03:00,5.0,1,89667666919,,,,,,,,,,https://wa.me/79667666919,,,,,,https://t.me/+79667666919,,,,45.154066,38.996091,https://2gis.com/firm/70000001099999374,branch
Atlanta,мебельная фабрика,Мебель на заказ; Мягкая мебель; Корпусная мебель; Матрасы; Мебель для кухни; Детская мебель,"улица Дзержинского, 100",3 этаж,350019,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,,,89884887270,,,,,http://atlanta-mebel.ru/?utm_source=2gis,,,,https://vk.com/atlantamebelofficial,https://wa.me/79884887270,,,,,,https://t.me/+79884887270,,,https://youtube.com/channel/UCbXLu0vzY_iarpo8Jy7ne1g,45.102445,38.985067,https://2gis.com/firm/70000001104384892,branch
Atlanta,мебельная фабрика,Мебель на заказ; Мягкая мебель; Корпусная мебель; Матрасы,"Тургеневское шоссе, 22",1 этаж,385121,,,,Тахтамукайский район,Республика Адыгея,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,5.0,5,89615888604,,,,,http://atlanta-mebel.ru/?utm_source=2gis,,,,https://vk.com/atlanta_mebel_official,https://wa.me/79034515959,,,,,,https://t.me/atlanta_mebel,,,https://youtube.com/channel/UCbXLu0vzY_iarpo8Jy7ne1g,45.016436,38.937623,https://2gis.com/firm/70000001046674131,branch
Atlanta,мебельная фабрика,Мебель на заказ; Мягкая мебель; Корпусная мебель; Матрасы; Мебель для кухни; Детская мебель,"улица Дзержинского, 100",4 этаж,350019,,Прикубанский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,5.0,248,89884887270,,,,,http://atlanta-mebel.ru/?utm_source=2gis,,,,https://vk.com/atlantamebelofficial,https://wa.me/79884887270,,,,,,https://t.me/+79884887270,,,https://youtube.com/channel/UCbXLu0vzY_iarpo8Jy7ne1g,45.102829,38.98503,https://2gis.com/firm/70000001024111588,branch
Atlanta,"производственный цех, пункт выдачи",Мебель на заказ; Мягкая мебель; Матрасы,"Зиповская улица, 5 лит Г36",1 этаж,350010,,Центральный округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 08:30-17:00; Вт: 08:30-17:00; Ср: 08:30-17:00; Чт: 08:30-17:00; Пт: 08:30-16:30,+03:00,5.0,2,88612523231,,,,,http://atlanta-mebel.ru/?utm_source=2gis,,,,https://vk.com/atlanta_mebel_official,https://wa.me/79034515959,,,,,,https://t.me/atlanta_mebel,,,https://youtube.com/channel/UCbXLu0vzY_iarpo8Jy7ne1g,45.062929,38.988938,https://2gis.com/firm/70000001046674242,branch
Atria,мебельный салон,Мебель на заказ; Мебельные магазины; Мебель для кухни; Корпусная мебель,"Меланжевая улица, 23",2 этаж,350059,РМЗ м-н,Карасунский округ,Краснодар,Краснодар городской округ,Краснодарский край,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,,,89184534977,89628884848,89180919615,,,,,,,,https://wa.me/79184534977,https://wa.me/79628884848,,,,,https://t.me/+79628884848,,,,45.032697,39.048512,https://2gis.com/firm/70000001035605614,branch
Atriya,салон мягкой мебели,Мебель на заказ; Мягкая мебель; Детская мебель; Матрасы,"Тургеневское шоссе, 13",1 этаж,385121,,,,Тахтамукайский район,Республика Адыгея,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,4.3,7,89385050483,,,,,http://atryiamebel.2gis.biz,,,,,https://wa.me/79385050483,,,,,,https://t.me/+79385050483,,,,45.025357,38.943241,https://2gis.com/firm/70000001063055846,branch
Auroom,центр изготовления мебели из массива,Мебель на заказ; Мебель для кухни; Корпусная мебель; Офисная мебель,"Крайняя улица, 102/1",,353210,,,,Динской район,Краснодарский край,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00,+03:00,1.0,1,89891419158,,,,,,,,,,https://wa.me/79891419158,,,,,,,,,,45.243871,38.951708,https://2gis.com/firm/70000001081816431,branch
Bain,мебельный магазин,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мебель для кухни; Детская мебель; Мягкая мебель; Мебельные фасады,"Тургеневское шоссе, 11/1",1 этаж,385121,,,,Тахтамукайский район,Республика Адыгея,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+03:00,5.0,1,89183578002,,,,,,,,,,https://wa.me/79183578002,,,,,,https://t.me/+79183578002,,,,45.026236,38.944119,https://2gis.com/firm/70000001063055825,branch
