Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL,Тип
Мария,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель,"11-й Порт-Артурский переулок, 66",,630121,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+07:00,4.9,21,89513788756,89833233010,,,,,,,,,https://wa.me/79513788756,,,,,,,,,,54.983765,82.790613,https://2gis.com/firm/70000001093737876,branch
Мария,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель,"улица Ломоносова, 11",2 этаж,633103,Авиаторов пос.,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+07:00,4.7,25,89513788756,89833233010,,,,,,,,,https://wa.me/79513788756,,,,,,,,,,54.995737,82.687605,https://2gis.com/firm/70000001070072065,branch
Марсель,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат; Детская мебель,"Владимировская улица, 15 к1",,630003,Прибрежный м-н,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,,,89137999951,,,,,,,,,,https://wa.me/79833001188,,,,,,,,,,55.036881,82.887777,https://2gis.com/firm/70000001107449453,branch
Мебель Люкс,,Мебель на заказ; Мягкая мебель,"30 лет Октября, 16",2 этаж,630123,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.8,146,89133766702,89061948005,,,,,,,,,https://wa.me/79133766702,,,,,,,,,,55.071427,82.893887,https://2gis.com/firm/70000001079169724,branch
Мебель М,компания по изготовлению корпусной мебели и торгового оборудования,Мебель на заказ; Корпусная мебель; Стеллажи и витрины; Торгово-выставочное оборудование; Мебель для кухни,"Станционная улица, 60/1 к86",,630096,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+07:00,5.0,1,89133743315,,,,,,,,,,https://wa.me/79133743315,,,,,,https://t.me/+79133743315,,,,55.000945,82.817728,https://2gis.com/firm/70000001065925239,branch
Мебель мастер,,Мебель на заказ; Корпусная мебель,"улица Богдана Хмельницкого, 118/2",10 офис; 2 этаж,630027,,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительной записи: пн-пт),+07:00,4.7,40,83833100993,89835100993,,,,,,,,https://vk.com/mebel_m154,https://wa.me/79835100993,,,,,,,,,,55.103756,82.984661,https://2gis.com/firm/70000001020343815,branch
Мебельвам,производственно-торговая компания,Мебель на заказ; Мебель для ванных комнат; Детская мебель; Офисная мебель; Мебель для кухни; Торгово-выставочное оборудование; Медицинская и лабораторная мебель; Корпусная мебель; Мебель для учебных учреждений,"Солнечная улица, 1а",,633009,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 09:00-12:00 (по предварительной записи),+07:00,4.8,34,83833801380,89537801380,,,,,,,,https://vk.com/mebelvam_na_zakaz,,,,,,,,,,,54.733753,83.05967,https://2gis.com/firm/141265769970123,branch
Мебельный магазин разных цен,,Мебель на заказ; Мебельные магазины; Корпусная мебель; Мягкая мебель; Матрасы,"Больничная улица, 42",цокольный этаж,633209,,,Искитим,Искитим городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,4.6,17,89231156914 (единый номер: пн-пт 10:00-19:00; сб-вс 10:00-17:00),89137597719,,,,,,,,,,,,,,,,,,,54.634975,83.304183,https://2gis.com/firm/70000001034935631,branch
Мобилье,мастерская,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Мебель для ванных комнат; Детская мебель,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00 (по предварительному звонку),+07:00,5.0,2,89137113781,89130014847,,,,,,,,https://vk.com/mobilie_nsk,https://wa.me/79137113781,https://wa.me/79130014847,,,,,,,,,,,https://2gis.com/firm/70000001049960917,branch
Мягкий мир,салон мягкой мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель,"Светлановская улица, 50",2 сектор; 0 этаж,630047,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.7,54,89139067600,,,,,,,,,https://vk.com/myagkiy_mir_nsk,,,,,,,,,,,55.081651,82.933179,https://2gis.com/firm/70000001020126912,branch
НАВРОЛИТ,мастерская по изготовлению изделий из искусственного акрилового камня,Мебель на заказ; Изделия из камня для помещений; Мебель для кухни; Корпусная мебель; Мебель для ванных комнат; Ремонт мебели; Облицовочный камень,"Владимировская улица, 15 к1",,630003,Прибрежный м-н,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00,+07:00,5.0,3,89137976116,89833141378,,,,http://70000001041801776.2gis.biz,,,,,https://wa.me/79833141378,,,,,,https://t.me/+79833141378,,,,55.036881,82.887777,https://2gis.com/firm/70000001041801777,branch
Негоциант,компания,Мебель на заказ; Корпусная мебель; Мебель для кухни; Офисная мебель; Детская мебель,"улица Жуковского, 8",,633102,Авиаторов пос.,,Обь,Обь городской округ,Новосибирская область,Россия,"Пн: 10:00-13:00, 13:30-19:00; Вт: 10:00-13:00, 13:30-19:00; Ср: 10:00-13:00, 13:30-19:00; Чт: 10:00-13:00, 13:30-19:00; Пт: 10:00-13:00, 13:30-19:00",+07:00,5.0,2,89139144750,,,,,,,,,,https://wa.me/79139144750,,,,,,,,,,54.994504,82.710073,https://2gis.com/firm/141266769978242,branch
Пилар,компания по продаже слэбов карагача и дуба,Мебель на заказ; Пило- и лесоматериалы; Облицовочные материалы для мебели; Корпусная мебель,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+07:00,,,89139180083,,,,,,,,,,https://wa.me/79132013202,,,,,,,,,,,,https://2gis.com/firm/70000001019711772,branch
ПроМебель,салон мебели,Мебель на заказ; Мебельные магазины; Мягкая мебель; Мебельные фабрики,"Большевистская улица, 131 к2",1 этаж,630083,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+07:00,4.5,42,89513807038,,,pro.mebel.08@mail.ru,,http://promebel.2gis.biz,,,,,https://wa.me/79139034668,,,,,,https://t.me/+79513807038,,,,54.999673,82.958462,https://2gis.com/firm/70000001033300306,branch
Проект Мебель,,Мебель на заказ; Корпусная мебель; Детская мебель; Матрасы; Мебель для ванных комнат; Мебель для кухни; Мягкая мебель; Офисная мебель; Ремонт мебели,"Советская улица, 6",1 этаж,633209,,,,Искитимский район,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+07:00,5.0,3,89039975353,89137416571,,,,,,,,https://vk.com/proektmebel2,https://wa.me/79137416571,,,,,,https://t.me/proektmeb,,,,54.653508,83.280278,https://2gis.com/firm/70000001061422610,branch
Роман,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Бескаркасная мебель,"Новосибирская улица, 28",2 этаж,630136,Троллейный ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,,,89930184927,89330182927,,,,,,,,https://vk.com/club237040832,,,,,,,,,,,54.986752,82.843778,https://2gis.com/firm/70000001112661113,branch
Роман,мебельный салон,Мебель на заказ; Мебельные магазины; Мягкая мебель; Детская мебель; Корпусная мебель; Бескаркасная мебель,"улица Ленина, 20",цокольный этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,3.5,8,89137075377,,,,,,,,,https://vk.com/club237040832,,,,,,,https://t.me/+79137075377,,,,54.764025,83.091674,https://2gis.com/firm/141266769972741,branch
Романченко,фабрика мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Детская мебель; Офисная мебель,"улица Немировича-Данченко, 122",219а офис; 2 этаж,630087,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+07:00,4.2,10,83833463355,,,,,,,,,,,,,,,,,,,,54.977981,82.912996,https://2gis.com/firm/141265769739467,branch
Русский шкаф,,Мебель на заказ; Корпусная мебель; Мебель для кухни; Детская мебель,"улица Мира, 58а",,630024,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:30-19:00; Вт: 10:30-19:00; Ср: 10:30-19:00; Чт: 10:30-19:00; Пт: 10:30-19:00 (по предварительной записи),+07:00,5.0,143,89130110144,,,,,,,,,https://vk.com/nsk_mebel_na_zakaz,https://wa.me/79130110144,,,,,,https://t.me/sib_mebel,,,,54.961774,82.924175,https://2gis.com/firm/70000001068923956,branch
Создавая атмосферу,,Мебель на заказ; Корпусная мебель; Сборка мебели,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+07:00,,,89139558596,,,,,,,,,https://vk.com/club215237209,,,,,,,,,,,,,https://2gis.com/firm/70000001103366634,branch
Уют,мебельный салон,Мебель на заказ; Мягкая мебель; Корпусная мебель; Матрасы,"улица Сибиряков-Гвардейцев, 49/1 к3",2 этаж,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+07:00,2.9,6,89130193086,,,,,,,,,,,,,,,,,,,,54.95319,82.914138,https://2gis.com/firm/70000001067020575,branch
Тор,компания по изготовлению мебели под заказ,Мебель на заказ; Корпусная мебель; Мебель для кухни,,,,,,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+07:00,5.0,8,89537659880,89939554724,,,,,,,,,https://wa.me/79939554724,,,,,,https://t.me/+79939554724,,,,,,https://2gis.com/firm/70000001084093907,branch
Триана,мебельная фабрика,Мебель на заказ; Детская мебель; Мебель для кухни; Корпусная мебель; Торгово-выставочное оборудование; Офисная мебель,"Красный проспект, 161",1 этаж,630049,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (по предварительной записи),+07:00,4.6,372,83833757155,,,,,http://jivo.chat/b3XsVG7l9i,,,,https://vk.com/trianamebel,https://wa.me/73833757155,,,,,,https://t.me/trianamebel,,,,55.061732,82.911184,https://2gis.com/firm/141265772004895,branch
ТрубаДоска,,Мебель на заказ; Мебель для общественного питания; Металлоизделия; Интерьерные лестницы; Полимерная порошковая окраска,"улица Аксёнова, 26 к2",1 этаж,630025,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (по предварительному звонку),+07:00,,,89529191628,,,,,,,,,https://vk.com/trubadoska,https://wa.me/79529191628,,,,,,https://t.me/+79529191628,,,,54.970241,83.05767,https://2gis.com/firm/70000001064782877,branch
Ты и я,"магазин, офис",Мебель на заказ; Детское игровое оборудование; Детская мебель; Мебель для учебных учреждений; Спортивное оборудование; Игрушки; Мягкая мебель,"улица Петухова, 51/1",201 офис; 2 этаж,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.9,78,89537801714 (горячая линия),88002007340 (бесплатная горячая линия),89137101714 (горячая линия),,,http://тыия54.рф/?utm_source=2gis,,,,https://vk.com/sibstol54,https://wa.me/79537801714,,,viber://chat/?number=79537801714,,,https://t.me/ty_u_ya,,,https://youtube.com/@ty_u_ya,54.947927,82.87588,https://2gis.com/firm/141266769608409,branch
Формула Комфорта,мебельная фабрика,Мебель на заказ; Корпусная мебель; Мебель для кухни; Мебель для ванных комнат,"Линейная улица, 30",501/1 офис; 5 этаж,630049,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,5,89132027941,,,,,http://t.me/comfortformula_nsk,,,,https://vk.com/comfortformula_nsk,,,,,,,https://t.me/+79132027941,,,,55.047991,82.904839,https://2gis.com/firm/70000001059730687,branch
Формула Мебели,производственная компания,Мебель на заказ; Мебельные фасады; Корпусная мебель; Мебель для кухни; Распиловка древесины,"Шорная улица, 2",,630001,Нахаловка м-н,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,4.3,16,89139442467,,,,,,,,,,https://wa.me/79139442467,,,,,,,,,,55.043047,82.875376,https://2gis.com/firm/141265769537246,branch
Фулл Хауз,компания по продаже офисных диванов для кафе и ресторанов,Мебель на заказ; Мягкая мебель; Офисная мебель; Мебель для кухни; Детская мебель,"улица Богдана Хмельницкого, 1",цокольный этаж,630075,Сухой лог м-н,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.6,22,89994676219,,,,,,,,,,https://wa.me/79930006166,,,,,,https://t.me/+79930006166,,,,55.066456,82.934447,https://2gis.com/firm/70000001071183300,branch
Хам,cтолярная мастерская,Мебель на заказ; Деревообработка; Ремонт мебели; Декоративные отделочные материалы,"проспект Дзержинского, 87 к1",326 кабинет; 3 этаж,630051,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,5.0,5,89232269686,,,,,,,,,,https://wa.me/79232269686,,,,,,,,,,55.068136,82.999252,https://2gis.com/firm/70000001082975467,branch
Эвика,магазин по продаже корпусной мебели,Мебель на заказ; Корпусная мебель,"улица Чехова, 276",,630063,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+07:00,4.8,19,89014514515,,,evika_mebel@mail.ru,,,,,,https://vk.com/mebelevika,https://wa.me/79014514515,,,,,,https://t.me/+79014514515,,,,55.008779,82.97347,https://2gis.com/firm/70000001063399114,branch
Элегия,салон мягкой мебели,Мебель на заказ; Ремонт мебели; Мягкая мебель; Мебельная фурнитура,"Первомайская улица, 8",1 этаж,633011,Северный м-н,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (По предварительному звонку),+07:00,,,89515721251,,,,,,,,,https://vk.com/mebel_elegiia,https://wa.me/79515721251,,,,,,https://t.me/+79517521251,,,,54.76912,83.100657,https://2gis.com/firm/70000001078844282,branch
Элемент плюс,производственная фирма,Мебель на заказ; Корпусная мебель; Детская мебель; Мебель для кухни; Межкомнатные двери; Мебель для ванных комнат; Офисная мебель,"Оловозаводская улица, 47/4",243 офис; 2 этаж,630033,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-17:00",+07:00,4.8,60,89134705522,,,,,http://elementplus.2gis.biz,,,,https://vk.com/_element_nsk,https://wa.me/79134705522,,,,,,,,,,54.958435,82.94677,https://2gis.com/firm/141265769646214,branch
Эльмика,компания по изготовлению модульных кухонь и корпусной мебели,Мебель на заказ; Мебель для кухни; Корпусная мебель; Мебельные фасады; Мебельная фурнитура,"улица Королёва, 40 к7",13 офис; 2 этаж,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00 (по предварительной записи),+07:00,5.0,11,89831214808,89513999849,,,,,,,,https://vk.com/elmica.home,,,,,,,https://t.me/+79513999849,,,,55.060558,82.963625,https://2gis.com/firm/70000001102736624,branch
Энергетика дерева,столярная мастерская,Мебель на заказ; Деревообработка; Мебель для кухни,"Приграничная улица, 5 к9",2 этаж,630068,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+07:00,5.0,2,89139094599,,,,,,,,,https://vk.com/woodenergy,https://wa.me/79139094599,,,,,,,,,,54.933323,83.139951,https://2gis.com/firm/70000001055285768,branch
Эста,производственно-торговая компания,Мебель на заказ; Стеллажи и витрины; Корпусная мебель; Торгово-выставочное оборудование; Детская мебель; Мебель для кухни; Офисная мебель,"Оловозаводская улица, 45/10","направо, через ЖД пути, синие ворота",630033,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+07:00,5.0,1,89139871729,89139119129,,,,,,,,,https://wa.me/79139871729,,,,,,https://t.me/+79139871729,https://t.me/79139871729,,,54.956347,82.947312,https://2gis.com/firm/141265769366518,branch
